frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 26, 2022 12:05:15.795701354 UTC,60,6,172.28.0.2,23.56.8.97,41044,443,0
2,Mar 26, 2022 12:05:15.797637811 UTC,60,6,23.56.8.97,172.28.0.2,443,41044,0
3,Mar 26, 2022 12:05:15.797660457 UTC,52,6,172.28.0.2,23.56.8.97,41044,443,0
4,Mar 26, 2022 12:05:15.803885164 UTC,569,6,172.28.0.2,23.56.8.97,41044,443,517
5,Mar 26, 2022 12:05:15.805161050 UTC,52,6,23.56.8.97,172.28.0.2,443,41044,0
6,Mar 26, 2022 12:05:15.806837380 UTC,2948,6,23.56.8.97,172.28.0.2,443,41044,2896
7,Mar 26, 2022 12:05:15.806854109 UTC,52,6,172.28.0.2,23.56.8.97,41044,443,0
8,Mar 26, 2022 12:05:15.806839022 UTC,1252,6,23.56.8.97,172.28.0.2,443,41044,1200
9,Mar 26, 2022 12:05:15.806858657 UTC,52,6,172.28.0.2,23.56.8.97,41044,443,0
10,Mar 26, 2022 12:05:15.806839725 UTC,86,6,23.56.8.97,172.28.0.2,443,41044,34
11,Mar 26, 2022 12:05:15.806861302 UTC,52,6,172.28.0.2,23.56.8.97,41044,443,0
12,Mar 26, 2022 12:05:15.807653630 UTC,132,6,172.28.0.2,23.56.8.97,41044,443,80
13,Mar 26, 2022 12:05:15.807752541 UTC,98,6,172.28.0.2,23.56.8.97,41044,443,46
14,Mar 26, 2022 12:05:15.807766378 UTC,101,6,172.28.0.2,23.56.8.97,41044,443,49
15,Mar 26, 2022 12:05:15.807776398 UTC,87,6,172.28.0.2,23.56.8.97,41044,443,35
16,Mar 26, 2022 12:05:15.807802241 UTC,114,6,172.28.0.2,23.56.8.97,41044,443,62
17,Mar 26, 2022 12:05:15.808905297 UTC,52,6,23.56.8.97,172.28.0.2,443,41044,0
18,Mar 26, 2022 12:05:15.808999279 UTC,52,6,23.56.8.97,172.28.0.2,443,41044,0
19,Mar 26, 2022 12:05:15.808999978 UTC,52,6,23.56.8.97,172.28.0.2,443,41044,0
20,Mar 26, 2022 12:05:15.809000573 UTC,52,6,23.56.8.97,172.28.0.2,443,41044,0
21,Mar 26, 2022 12:05:15.809124512 UTC,52,6,23.56.8.97,172.28.0.2,443,41044,0
22,Mar 26, 2022 12:05:15.809611265 UTC,323,6,23.56.8.97,172.28.0.2,443,41044,271
23,Mar 26, 2022 12:05:15.809616707 UTC,52,6,172.28.0.2,23.56.8.97,41044,443,0
24,Mar 26, 2022 12:05:15.809687680 UTC,323,6,23.56.8.97,172.28.0.2,443,41044,271
25,Mar 26, 2022 12:05:15.809691430 UTC,52,6,172.28.0.2,23.56.8.97,41044,443,0
26,Mar 26, 2022 12:05:15.813881920 UTC,122,6,23.56.8.97,172.28.0.2,443,41044,70
