frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 26, 2022 12:06:09.779872860 UTC,60,6,172.28.0.2,151.101.0.81,57654,443,0
2,Mar 26, 2022 12:06:09.781679295 UTC,60,6,151.101.0.81,172.28.0.2,443,57654,0
3,Mar 26, 2022 12:06:09.781696428 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
4,Mar 26, 2022 12:06:09.788005164 UTC,569,6,172.28.0.2,151.101.0.81,57654,443,517
5,Mar 26, 2022 12:06:09.789230490 UTC,52,6,151.101.0.81,172.28.0.2,443,57654,0
6,Mar 26, 2022 12:06:09.790473129 UTC,3688,6,151.101.0.81,172.28.0.2,443,57654,3636
7,Mar 26, 2022 12:06:09.790487196 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
8,Mar 26, 2022 12:06:09.792003661 UTC,132,6,172.28.0.2,151.101.0.81,57654,443,80
9,Mar 26, 2022 12:06:09.792104131 UTC,98,6,172.28.0.2,151.101.0.81,57654,443,46
10,Mar 26, 2022 12:06:09.792117763 UTC,101,6,172.28.0.2,151.101.0.81,57654,443,49
11,Mar 26, 2022 12:06:09.792128900 UTC,87,6,172.28.0.2,151.101.0.81,57654,443,35
12,Mar 26, 2022 12:06:09.792155453 UTC,113,6,172.28.0.2,151.101.0.81,57654,443,61
13,Mar 26, 2022 12:06:09.793208570 UTC,52,6,151.101.0.81,172.28.0.2,443,57654,0
14,Mar 26, 2022 12:06:09.793252958 UTC,52,6,151.101.0.81,172.28.0.2,443,57654,0
15,Mar 26, 2022 12:06:09.793361108 UTC,102,6,151.101.0.81,172.28.0.2,443,57654,50
16,Mar 26, 2022 12:06:09.793381979 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
17,Mar 26, 2022 12:06:09.793371631 UTC,52,6,151.101.0.81,172.28.0.2,443,57654,0
18,Mar 26, 2022 12:06:09.793373521 UTC,52,6,151.101.0.81,172.28.0.2,443,57654,0
19,Mar 26, 2022 12:06:09.793374798 UTC,83,6,151.101.0.81,172.28.0.2,443,57654,31
20,Mar 26, 2022 12:06:09.793398466 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
21,Mar 26, 2022 12:06:09.793446345 UTC,83,6,172.28.0.2,151.101.0.81,57654,443,31
22,Mar 26, 2022 12:06:09.793468235 UTC,52,6,151.101.0.81,172.28.0.2,443,57654,0
23,Mar 26, 2022 12:06:09.794623664 UTC,52,6,151.101.0.81,172.28.0.2,443,57654,0
24,Mar 26, 2022 12:06:09.827742780 UTC,14492,6,151.101.0.81,172.28.0.2,443,57654,14440
25,Mar 26, 2022 12:06:09.827763750 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
26,Mar 26, 2022 12:06:09.828165915 UTC,1212,6,151.101.0.81,172.28.0.2,443,57654,1160
27,Mar 26, 2022 12:06:09.828173091 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
28,Mar 26, 2022 12:06:09.828376616 UTC,7272,6,151.101.0.81,172.28.0.2,443,57654,7220
29,Mar 26, 2022 12:06:09.828385454 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
30,Mar 26, 2022 12:06:09.828403416 UTC,7272,6,151.101.0.81,172.28.0.2,443,57654,7220
31,Mar 26, 2022 12:06:09.828410119 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
32,Mar 26, 2022 12:06:09.829226883 UTC,13048,6,151.101.0.81,172.28.0.2,443,57654,12996
33,Mar 26, 2022 12:06:09.829235143 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
34,Mar 26, 2022 12:06:09.830110969 UTC,21712,6,151.101.0.81,172.28.0.2,443,57654,21660
35,Mar 26, 2022 12:06:09.830128899 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
36,Mar 26, 2022 12:06:09.831016986 UTC,7268,6,151.101.0.81,172.28.0.2,443,57654,7216
37,Mar 26, 2022 12:06:09.831027095 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
38,Mar 26, 2022 12:06:09.831281004 UTC,2940,6,151.101.0.81,172.28.0.2,443,57654,2888
39,Mar 26, 2022 12:06:09.831287636 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
40,Mar 26, 2022 12:06:09.831527450 UTC,12508,6,151.101.0.81,172.28.0.2,443,57654,12456
41,Mar 26, 2022 12:06:09.831536895 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
42,Mar 26, 2022 12:06:09.831841768 UTC,14072,6,151.101.0.81,172.28.0.2,443,57654,14020
43,Mar 26, 2022 12:06:09.831851314 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
44,Mar 26, 2022 12:06:09.831946203 UTC,5348,6,151.101.0.81,172.28.0.2,443,57654,5296
45,Mar 26, 2022 12:06:09.831951912 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
46,Mar 26, 2022 12:06:09.832112287 UTC,12320,6,151.101.0.81,172.28.0.2,443,57654,12268
47,Mar 26, 2022 12:06:09.832120880 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
48,Mar 26, 2022 12:06:09.832564777 UTC,19552,6,151.101.0.81,172.28.0.2,443,57654,19500
49,Mar 26, 2022 12:06:09.832579659 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
50,Mar 26, 2022 12:06:09.833083413 UTC,12216,6,151.101.0.81,172.28.0.2,443,57654,12164
51,Mar 26, 2022 12:06:09.833092394 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
52,Mar 26, 2022 12:06:09.833381574 UTC,5828,6,151.101.0.81,172.28.0.2,443,57654,5776
53,Mar 26, 2022 12:06:09.833388298 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
54,Mar 26, 2022 12:06:09.833697875 UTC,13880,6,151.101.0.81,172.28.0.2,443,57654,13828
55,Mar 26, 2022 12:06:09.833709647 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
56,Mar 26, 2022 12:06:09.833995103 UTC,15936,6,151.101.0.81,172.28.0.2,443,57654,15884
57,Mar 26, 2022 12:06:09.834005969 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
58,Mar 26, 2022 12:06:09.834315256 UTC,5828,6,151.101.0.81,172.28.0.2,443,57654,5776
59,Mar 26, 2022 12:06:09.834326889 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
60,Mar 26, 2022 12:06:09.834401326 UTC,10160,6,151.101.0.81,172.28.0.2,443,57654,10108
61,Mar 26, 2022 12:06:09.834410431 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
62,Mar 26, 2022 12:06:09.834634720 UTC,2940,6,151.101.0.81,172.28.0.2,443,57654,2888
63,Mar 26, 2022 12:06:09.834639933 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
64,Mar 26, 2022 12:06:09.834723980 UTC,21712,6,151.101.0.81,172.28.0.2,443,57654,21660
65,Mar 26, 2022 12:06:09.834736983 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
66,Mar 26, 2022 12:06:09.835090795 UTC,7272,6,151.101.0.81,172.28.0.2,443,57654,7220
67,Mar 26, 2022 12:06:09.835101911 UTC,52,6,172.28.0.2,151.101.0.81,57654,443,0
