frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 26, 2022 11:58:54.024493997 UTC,60,6,172.28.0.2,23.46.236.194,43400,443,0
2,Mar 26, 2022 11:58:54.026004201 UTC,60,6,23.46.236.194,172.28.0.2,443,43400,0
3,Mar 26, 2022 11:58:54.026022977 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
4,Mar 26, 2022 11:58:54.032335042 UTC,569,6,172.28.0.2,23.46.236.194,43400,443,517
5,Mar 26, 2022 11:58:54.033415275 UTC,52,6,23.46.236.194,172.28.0.2,443,43400,0
6,Mar 26, 2022 11:58:54.035273806 UTC,2948,6,23.46.236.194,172.28.0.2,443,43400,2896
7,Mar 26, 2022 11:58:54.035285146 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
8,Mar 26, 2022 11:58:54.035352766 UTC,611,6,23.46.236.194,172.28.0.2,443,43400,559
9,Mar 26, 2022 11:58:54.035358045 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
10,Mar 26, 2022 11:58:54.036034153 UTC,132,6,172.28.0.2,23.46.236.194,43400,443,80
11,Mar 26, 2022 11:58:54.036122672 UTC,98,6,172.28.0.2,23.46.236.194,43400,443,46
12,Mar 26, 2022 11:58:54.036136518 UTC,101,6,172.28.0.2,23.46.236.194,43400,443,49
13,Mar 26, 2022 11:58:54.036145964 UTC,87,6,172.28.0.2,23.46.236.194,43400,443,35
14,Mar 26, 2022 11:58:54.036171126 UTC,112,6,172.28.0.2,23.46.236.194,43400,443,60
15,Mar 26, 2022 11:58:54.037094797 UTC,52,6,23.46.236.194,172.28.0.2,443,43400,0
16,Mar 26, 2022 11:58:54.037151208 UTC,52,6,23.46.236.194,172.28.0.2,443,43400,0
17,Mar 26, 2022 11:58:54.037152011 UTC,52,6,23.46.236.194,172.28.0.2,443,43400,0
18,Mar 26, 2022 11:58:54.037152630 UTC,52,6,23.46.236.194,172.28.0.2,443,43400,0
19,Mar 26, 2022 11:58:54.037305790 UTC,52,6,23.46.236.194,172.28.0.2,443,43400,0
20,Mar 26, 2022 11:58:54.038295340 UTC,323,6,23.46.236.194,172.28.0.2,443,43400,271
21,Mar 26, 2022 11:58:54.038301121 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
22,Mar 26, 2022 11:58:54.038341406 UTC,323,6,23.46.236.194,172.28.0.2,443,43400,271
23,Mar 26, 2022 11:58:54.038345343 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
24,Mar 26, 2022 11:58:54.045378433 UTC,122,6,23.46.236.194,172.28.0.2,443,43400,70
25,Mar 26, 2022 11:58:54.045386998 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
26,Mar 26, 2022 11:58:54.045446554 UTC,83,6,172.28.0.2,23.46.236.194,43400,443,31
27,Mar 26, 2022 11:58:54.046467262 UTC,52,6,23.46.236.194,172.28.0.2,443,43400,0
28,Mar 26, 2022 11:58:54.082348155 UTC,2933,6,23.46.236.194,172.28.0.2,443,43400,2881
29,Mar 26, 2022 11:58:54.082361964 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
30,Mar 26, 2022 11:58:54.082404020 UTC,5814,6,23.46.236.194,172.28.0.2,443,43400,5762
31,Mar 26, 2022 11:58:54.082411119 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
32,Mar 26, 2022 11:58:54.082404948 UTC,2933,6,23.46.236.194,172.28.0.2,443,43400,2881
33,Mar 26, 2022 11:58:54.082418935 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
34,Mar 26, 2022 11:58:54.082405721 UTC,5814,6,23.46.236.194,172.28.0.2,443,43400,5762
35,Mar 26, 2022 11:58:54.082425661 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
36,Mar 26, 2022 11:58:54.082826684 UTC,2933,6,23.46.236.194,172.28.0.2,443,43400,2881
37,Mar 26, 2022 11:58:54.082839734 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
38,Mar 26, 2022 11:58:54.083010061 UTC,2933,6,23.46.236.194,172.28.0.2,443,43400,2881
39,Mar 26, 2022 11:58:54.083016306 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
40,Mar 26, 2022 11:58:54.083318844 UTC,1500,6,23.46.236.194,172.28.0.2,443,43400,1448
41,Mar 26, 2022 11:58:54.083327966 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
42,Mar 26, 2022 11:58:54.083428264 UTC,5844,6,23.46.236.194,172.28.0.2,443,43400,5792
43,Mar 26, 2022 11:58:54.083475105 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
44,Mar 26, 2022 11:58:54.083872203 UTC,1500,6,23.46.236.194,172.28.0.2,443,43400,1448
45,Mar 26, 2022 11:58:54.083881036 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
46,Mar 26, 2022 11:58:54.083891816 UTC,10188,6,23.46.236.194,172.28.0.2,443,43400,10136
47,Mar 26, 2022 11:58:54.083905982 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
48,Mar 26, 2022 11:58:54.084330488 UTC,5844,6,23.46.236.194,172.28.0.2,443,43400,5792
49,Mar 26, 2022 11:58:54.084340646 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
50,Mar 26, 2022 11:58:54.084523467 UTC,8740,6,23.46.236.194,172.28.0.2,443,43400,8688
51,Mar 26, 2022 11:58:54.084532644 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
52,Mar 26, 2022 11:58:54.084698282 UTC,2948,6,23.46.236.194,172.28.0.2,443,43400,2896
53,Mar 26, 2022 11:58:54.084703596 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
54,Mar 26, 2022 11:58:54.084769714 UTC,5844,6,23.46.236.194,172.28.0.2,443,43400,5792
55,Mar 26, 2022 11:58:54.084775499 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
56,Mar 26, 2022 11:58:54.084950445 UTC,5844,6,23.46.236.194,172.28.0.2,443,43400,5792
57,Mar 26, 2022 11:58:54.084956603 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
58,Mar 26, 2022 11:58:54.085038396 UTC,2948,6,23.46.236.194,172.28.0.2,443,43400,2896
59,Mar 26, 2022 11:58:54.085043762 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
60,Mar 26, 2022 11:58:54.085125255 UTC,11636,6,23.46.236.194,172.28.0.2,443,43400,11584
61,Mar 26, 2022 11:58:54.085133152 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
62,Mar 26, 2022 11:58:54.085300994 UTC,4051,6,23.46.236.194,172.28.0.2,443,43400,3999
63,Mar 26, 2022 11:58:54.085309302 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
64,Mar 26, 2022 11:58:54.085332495 UTC,1707,6,23.46.236.194,172.28.0.2,443,43400,1655
65,Mar 26, 2022 11:58:54.085337082 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
66,Mar 26, 2022 11:58:54.091020549 UTC,8821,6,23.46.236.194,172.28.0.2,443,43400,8769
67,Mar 26, 2022 11:58:54.091031820 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
68,Mar 26, 2022 11:58:54.091088136 UTC,14517,6,23.46.236.194,172.28.0.2,443,43400,14465
69,Mar 26, 2022 11:58:54.091100810 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
70,Mar 26, 2022 11:58:54.091241631 UTC,7292,6,23.46.236.194,172.28.0.2,443,43400,7240
71,Mar 26, 2022 11:58:54.091249470 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
72,Mar 26, 2022 11:58:54.091264751 UTC,7277,6,23.46.236.194,172.28.0.2,443,43400,7225
73,Mar 26, 2022 11:58:54.091275990 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
74,Mar 26, 2022 11:58:54.091430754 UTC,28982,6,23.46.236.194,172.28.0.2,443,43400,28930
75,Mar 26, 2022 11:58:54.091507092 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
76,Mar 26, 2022 11:58:54.091789738 UTC,49284,6,23.46.236.194,172.28.0.2,443,43400,49232
77,Mar 26, 2022 11:58:54.091824116 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
78,Mar 26, 2022 11:58:54.092362183 UTC,23241,6,23.46.236.194,172.28.0.2,443,43400,23189
79,Mar 26, 2022 11:58:54.092373933 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
80,Mar 26, 2022 11:58:54.093318753 UTC,16458,6,23.46.236.194,172.28.0.2,443,43400,16406
81,Mar 26, 2022 11:58:54.093337903 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
82,Mar 26, 2022 11:58:54.093390263 UTC,1463,6,23.46.236.194,172.28.0.2,443,43400,1411
83,Mar 26, 2022 11:58:54.093855346 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
84,Mar 26, 2022 11:58:54.094311906 UTC,16458,6,23.46.236.194,172.28.0.2,443,43400,16406
85,Mar 26, 2022 11:58:54.094325256 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
86,Mar 26, 2022 11:58:54.094351356 UTC,16458,6,23.46.236.194,172.28.0.2,443,43400,16406
87,Mar 26, 2022 11:58:54.094360842 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
88,Mar 26, 2022 11:58:54.094435835 UTC,32864,6,23.46.236.194,172.28.0.2,443,43400,32812
89,Mar 26, 2022 11:58:54.094462972 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
90,Mar 26, 2022 11:58:54.094479076 UTC,16458,6,23.46.236.194,172.28.0.2,443,43400,16406
91,Mar 26, 2022 11:58:54.094488166 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
92,Mar 26, 2022 11:58:54.094670779 UTC,32864,6,23.46.236.194,172.28.0.2,443,43400,32812
93,Mar 26, 2022 11:58:54.094687032 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
94,Mar 26, 2022 11:58:54.094802721 UTC,49270,6,23.46.236.194,172.28.0.2,443,43400,49218
95,Mar 26, 2022 11:58:54.094821808 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
96,Mar 26, 2022 11:58:54.094885528 UTC,32864,6,23.46.236.194,172.28.0.2,443,43400,32812
97,Mar 26, 2022 11:58:54.094899771 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
98,Mar 26, 2022 11:58:54.094948925 UTC,7292,6,23.46.236.194,172.28.0.2,443,43400,7240
99,Mar 26, 2022 11:58:54.094954196 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
100,Mar 26, 2022 11:58:54.095055941 UTC,46817,6,23.46.236.194,172.28.0.2,443,43400,46765
101,Mar 26, 2022 11:58:54.095076675 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
102,Mar 26, 2022 11:58:54.095557774 UTC,10188,6,23.46.236.194,172.28.0.2,443,43400,10136
103,Mar 26, 2022 11:58:54.095567710 UTC,52,6,172.28.0.2,23.46.236.194,43400,443,0
104,Mar 26, 2022 11:58:54.095621371 UTC,55076,6,23.46.236.194,172.28.0.2,443,43400,55024
