frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 26, 2022 12:09:43.045078373 UTC,60,6,172.28.0.2,23.56.8.251,58242,443,0
2,Mar 26, 2022 12:09:43.047432088 UTC,60,6,23.56.8.251,172.28.0.2,443,58242,0
3,Mar 26, 2022 12:09:43.047451234 UTC,52,6,172.28.0.2,23.56.8.251,58242,443,0
4,Mar 26, 2022 12:09:43.053819074 UTC,569,6,172.28.0.2,23.56.8.251,58242,443,517
5,Mar 26, 2022 12:09:43.055567856 UTC,52,6,23.56.8.251,172.28.0.2,443,58242,0
6,Mar 26, 2022 12:09:43.057469974 UTC,2948,6,23.56.8.251,172.28.0.2,443,58242,2896
7,Mar 26, 2022 12:09:43.057479232 UTC,52,6,172.28.0.2,23.56.8.251,58242,443,0
8,Mar 26, 2022 12:09:43.057534169 UTC,223,6,23.56.8.251,172.28.0.2,443,58242,171
9,Mar 26, 2022 12:09:43.057540082 UTC,52,6,172.28.0.2,23.56.8.251,58242,443,0
10,Mar 26, 2022 12:09:43.058220472 UTC,132,6,172.28.0.2,23.56.8.251,58242,443,80
11,Mar 26, 2022 12:09:43.058307516 UTC,98,6,172.28.0.2,23.56.8.251,58242,443,46
12,Mar 26, 2022 12:09:43.058321873 UTC,101,6,172.28.0.2,23.56.8.251,58242,443,49
13,Mar 26, 2022 12:09:43.058331609 UTC,87,6,172.28.0.2,23.56.8.251,58242,443,35
14,Mar 26, 2022 12:09:43.058358605 UTC,118,6,172.28.0.2,23.56.8.251,58242,443,66
15,Mar 26, 2022 12:09:43.059931176 UTC,52,6,23.56.8.251,172.28.0.2,443,58242,0
16,Mar 26, 2022 12:09:43.059979286 UTC,52,6,23.56.8.251,172.28.0.2,443,58242,0
17,Mar 26, 2022 12:09:43.060063198 UTC,339,6,23.56.8.251,172.28.0.2,443,58242,287
18,Mar 26, 2022 12:09:43.060069175 UTC,52,6,172.28.0.2,23.56.8.251,58242,443,0
19,Mar 26, 2022 12:09:43.060063962 UTC,52,6,23.56.8.251,172.28.0.2,443,58242,0
20,Mar 26, 2022 12:09:43.060064600 UTC,52,6,23.56.8.251,172.28.0.2,443,58242,0
21,Mar 26, 2022 12:09:43.060123205 UTC,339,6,23.56.8.251,172.28.0.2,443,58242,287
22,Mar 26, 2022 12:09:43.060126448 UTC,52,6,172.28.0.2,23.56.8.251,58242,443,0
23,Mar 26, 2022 12:09:43.068222125 UTC,403,6,23.56.8.251,172.28.0.2,443,58242,351
24,Mar 26, 2022 12:09:43.068230142 UTC,52,6,172.28.0.2,23.56.8.251,58242,443,0
25,Mar 26, 2022 12:09:43.068304427 UTC,83,6,172.28.0.2,23.56.8.251,58242,443,31
26,Mar 26, 2022 12:09:43.068352282 UTC,76,6,172.28.0.2,23.56.8.251,58242,443,24
27,Mar 26, 2022 12:09:43.068958722 UTC,52,6,172.28.0.2,23.56.8.251,58242,443,0
28,Mar 26, 2022 12:09:43.069964679 UTC,52,6,23.56.8.251,172.28.0.2,443,58242,0
29,Mar 26, 2022 12:09:43.070079085 UTC,52,6,23.56.8.251,172.28.0.2,443,58242,0
30,Mar 26, 2022 12:09:43.070654603 UTC,76,6,23.56.8.251,172.28.0.2,443,58242,24
31,Mar 26, 2022 12:09:43.070669486 UTC,40,6,172.28.0.2,23.56.8.251,58242,443,0
32,Mar 26, 2022 12:09:43.070721291 UTC,52,6,23.56.8.251,172.28.0.2,443,58242,0
33,Mar 26, 2022 12:09:43.070725363 UTC,40,6,172.28.0.2,23.56.8.251,58242,443,0
34,Mar 26, 2022 12:09:48.096544166 UTC,60,6,172.28.0.2,23.56.8.251,58254,443,0
35,Mar 26, 2022 12:09:48.097896058 UTC,60,6,23.56.8.251,172.28.0.2,443,58254,0
36,Mar 26, 2022 12:09:48.097915541 UTC,52,6,172.28.0.2,23.56.8.251,58254,443,0
37,Mar 26, 2022 12:09:48.105138608 UTC,569,6,172.28.0.2,23.56.8.251,58254,443,517
38,Mar 26, 2022 12:09:48.106401355 UTC,52,6,23.56.8.251,172.28.0.2,443,58254,0
39,Mar 26, 2022 12:09:48.107338315 UTC,2948,6,23.56.8.251,172.28.0.2,443,58254,2896
