frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 26, 2022 11:54:42.988453337 UTC,60,6,172.28.0.2,104.119.4.80,52338,443,0
2,Mar 26, 2022 11:54:42.989585409 UTC,60,6,104.119.4.80,172.28.0.2,443,52338,0
3,Mar 26, 2022 11:54:42.989616260 UTC,52,6,172.28.0.2,104.119.4.80,52338,443,0
4,Mar 26, 2022 11:54:43.000595836 UTC,569,6,172.28.0.2,104.119.4.80,52338,443,517
5,Mar 26, 2022 11:54:43.001586057 UTC,52,6,104.119.4.80,172.28.0.2,443,52338,0
6,Mar 26, 2022 11:54:43.002193014 UTC,2948,6,104.119.4.80,172.28.0.2,443,52338,2896
7,Mar 26, 2022 11:54:43.002212583 UTC,52,6,172.28.0.2,104.119.4.80,52338,443,0
8,Mar 26, 2022 11:54:43.002195096 UTC,1252,6,104.119.4.80,172.28.0.2,443,52338,1200
9,Mar 26, 2022 11:54:43.002226268 UTC,52,6,172.28.0.2,104.119.4.80,52338,443,0
10,Mar 26, 2022 11:54:43.003464929 UTC,1399,6,104.119.4.80,172.28.0.2,443,52338,1347
11,Mar 26, 2022 11:54:43.003476208 UTC,52,6,172.28.0.2,104.119.4.80,52338,443,0
12,Mar 26, 2022 11:54:43.005585049 UTC,178,6,172.28.0.2,104.119.4.80,52338,443,126
13,Mar 26, 2022 11:54:43.006530683 UTC,52,6,104.119.4.80,172.28.0.2,443,52338,0
14,Mar 26, 2022 11:54:43.006802146 UTC,103,6,104.119.4.80,172.28.0.2,443,52338,51
15,Mar 26, 2022 11:54:43.006811202 UTC,52,6,172.28.0.2,104.119.4.80,52338,443,0
16,Mar 26, 2022 11:54:43.007029149 UTC,105,6,172.28.0.2,104.119.4.80,52338,443,53
17,Mar 26, 2022 11:54:43.007054496 UTC,108,6,172.28.0.2,104.119.4.80,52338,443,56
18,Mar 26, 2022 11:54:43.007068694 UTC,94,6,172.28.0.2,104.119.4.80,52338,443,42
19,Mar 26, 2022 11:54:43.007108492 UTC,123,6,172.28.0.2,104.119.4.80,52338,443,71
20,Mar 26, 2022 11:54:43.007952491 UTC,52,6,104.119.4.80,172.28.0.2,443,52338,0
21,Mar 26, 2022 11:54:43.008052002 UTC,120,6,104.119.4.80,172.28.0.2,443,52338,68
22,Mar 26, 2022 11:54:43.008063917 UTC,52,6,172.28.0.2,104.119.4.80,52338,443,0
23,Mar 26, 2022 11:54:43.008053368 UTC,52,6,104.119.4.80,172.28.0.2,443,52338,0
24,Mar 26, 2022 11:54:43.008054402 UTC,90,6,104.119.4.80,172.28.0.2,443,52338,38
25,Mar 26, 2022 11:54:43.008075082 UTC,52,6,172.28.0.2,104.119.4.80,52338,443,0
26,Mar 26, 2022 11:54:43.008055449 UTC,52,6,104.119.4.80,172.28.0.2,443,52338,0
27,Mar 26, 2022 11:54:43.008056563 UTC,52,6,104.119.4.80,172.28.0.2,443,52338,0
28,Mar 26, 2022 11:54:43.008149556 UTC,90,6,172.28.0.2,104.119.4.80,52338,443,38
29,Mar 26, 2022 11:54:43.009065288 UTC,52,6,104.119.4.80,172.28.0.2,443,52338,0
30,Mar 26, 2022 11:54:43.013562924 UTC,2940,6,104.119.4.80,172.28.0.2,443,52338,2888
31,Mar 26, 2022 11:54:43.013564926 UTC,5828,6,104.119.4.80,172.28.0.2,443,52338,5776
32,Mar 26, 2022 11:54:43.013608440 UTC,52,6,172.28.0.2,104.119.4.80,52338,443,0
33,Mar 26, 2022 11:54:43.013681751 UTC,10188,6,104.119.4.80,172.28.0.2,443,52338,10136
34,Mar 26, 2022 11:54:43.013699591 UTC,52,6,172.28.0.2,104.119.4.80,52338,443,0
