frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 26, 2022 12:08:50.688148147 UTC,60,6,172.28.0.2,172.253.63.101,56754,443,0
2,Mar 26, 2022 12:08:50.689066450 UTC,60,6,172.253.63.101,172.28.0.2,443,56754,0
3,Mar 26, 2022 12:08:50.689089466 UTC,52,6,172.28.0.2,172.253.63.101,56754,443,0
4,Mar 26, 2022 12:08:50.695587526 UTC,569,6,172.28.0.2,172.253.63.101,56754,443,517
5,Mar 26, 2022 12:08:50.695767960 UTC,52,6,172.253.63.101,172.28.0.2,443,56754,0
6,Mar 26, 2022 12:08:50.696278438 UTC,4377,6,172.253.63.101,172.28.0.2,443,56754,4325
7,Mar 26, 2022 12:08:50.696290184 UTC,52,6,172.28.0.2,172.253.63.101,56754,443,0
8,Mar 26, 2022 12:08:50.697224389 UTC,132,6,172.28.0.2,172.253.63.101,56754,443,80
9,Mar 26, 2022 12:08:50.697318023 UTC,98,6,172.28.0.2,172.253.63.101,56754,443,46
10,Mar 26, 2022 12:08:50.697332624 UTC,101,6,172.28.0.2,172.253.63.101,56754,443,49
11,Mar 26, 2022 12:08:50.697342580 UTC,87,6,172.28.0.2,172.253.63.101,56754,443,35
12,Mar 26, 2022 12:08:50.697386235 UTC,117,6,172.28.0.2,172.253.63.101,56754,443,65
13,Mar 26, 2022 12:08:50.697524571 UTC,114,6,172.253.63.101,172.28.0.2,443,56754,62
14,Mar 26, 2022 12:08:50.697537369 UTC,52,6,172.28.0.2,172.253.63.101,56754,443,0
15,Mar 26, 2022 12:08:50.697599695 UTC,83,6,172.28.0.2,172.253.63.101,56754,443,31
16,Mar 26, 2022 12:08:50.697684727 UTC,52,6,172.253.63.101,172.28.0.2,443,56754,0
17,Mar 26, 2022 12:08:50.698071082 UTC,83,6,172.253.63.101,172.28.0.2,443,56754,31
18,Mar 26, 2022 12:08:50.698074827 UTC,52,6,172.28.0.2,172.253.63.101,56754,443,0
19,Mar 26, 2022 12:08:50.698380917 UTC,278,6,172.253.63.101,172.28.0.2,443,56754,226
20,Mar 26, 2022 12:08:50.698386946 UTC,52,6,172.28.0.2,172.253.63.101,56754,443,0
21,Mar 26, 2022 12:08:50.698381977 UTC,304,6,172.253.63.101,172.28.0.2,443,56754,252
22,Mar 26, 2022 12:08:50.698391932 UTC,52,6,172.28.0.2,172.253.63.101,56754,443,0
23,Mar 26, 2022 12:08:50.698478095 UTC,91,6,172.253.63.101,172.28.0.2,443,56754,39
24,Mar 26, 2022 12:08:50.698482014 UTC,52,6,172.28.0.2,172.253.63.101,56754,443,0
