frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 26, 2022 12:02:47.190347812 UTC,60,6,172.28.0.2,23.62.24.63,52470,443,0
2,Mar 26, 2022 12:02:47.192771243 UTC,60,6,23.62.24.63,172.28.0.2,443,52470,0
3,Mar 26, 2022 12:02:47.192797764 UTC,52,6,172.28.0.2,23.62.24.63,52470,443,0
4,Mar 26, 2022 12:02:47.199149191 UTC,569,6,172.28.0.2,23.62.24.63,52470,443,517
5,Mar 26, 2022 12:02:47.200903318 UTC,52,6,23.62.24.63,172.28.0.2,443,52470,0
6,Mar 26, 2022 12:02:47.201661222 UTC,2948,6,23.62.24.63,172.28.0.2,443,52470,2896
7,Mar 26, 2022 12:02:47.201668531 UTC,52,6,172.28.0.2,23.62.24.63,52470,443,0
8,Mar 26, 2022 12:02:47.201662304 UTC,1252,6,23.62.24.63,172.28.0.2,443,52470,1200
9,Mar 26, 2022 12:02:47.201675526 UTC,52,6,172.28.0.2,23.62.24.63,52470,443,0
10,Mar 26, 2022 12:02:47.201903099 UTC,1260,6,23.62.24.63,172.28.0.2,443,52470,1208
11,Mar 26, 2022 12:02:47.201907997 UTC,52,6,172.28.0.2,23.62.24.63,52470,443,0
12,Mar 26, 2022 12:02:47.202547703 UTC,132,6,172.28.0.2,23.62.24.63,52470,443,80
13,Mar 26, 2022 12:02:47.202668859 UTC,98,6,172.28.0.2,23.62.24.63,52470,443,46
14,Mar 26, 2022 12:02:47.202682555 UTC,101,6,172.28.0.2,23.62.24.63,52470,443,49
15,Mar 26, 2022 12:02:47.202692458 UTC,87,6,172.28.0.2,23.62.24.63,52470,443,35
16,Mar 26, 2022 12:02:47.202719778 UTC,114,6,172.28.0.2,23.62.24.63,52470,443,62
17,Mar 26, 2022 12:02:47.204259067 UTC,52,6,23.62.24.63,172.28.0.2,443,52470,0
18,Mar 26, 2022 12:02:47.204385846 UTC,52,6,23.62.24.63,172.28.0.2,443,52470,0
19,Mar 26, 2022 12:02:47.204386619 UTC,52,6,23.62.24.63,172.28.0.2,443,52470,0
20,Mar 26, 2022 12:02:47.204471862 UTC,323,6,23.62.24.63,172.28.0.2,443,52470,271
21,Mar 26, 2022 12:02:47.204478466 UTC,52,6,172.28.0.2,23.62.24.63,52470,443,0
