frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 26, 2022 12:10:35.552328582 UTC,60,6,172.28.0.2,151.101.1.164,39844,443,0
2,Mar 26, 2022 12:10:35.553653193 UTC,60,6,151.101.1.164,172.28.0.2,443,39844,0
3,Mar 26, 2022 12:10:35.553676268 UTC,52,6,172.28.0.2,151.101.1.164,39844,443,0
4,Mar 26, 2022 12:10:35.559932830 UTC,569,6,172.28.0.2,151.101.1.164,39844,443,517
5,Mar 26, 2022 12:10:35.560834323 UTC,52,6,151.101.1.164,172.28.0.2,443,39844,0
6,Mar 26, 2022 12:10:35.562976418 UTC,3736,6,151.101.1.164,172.28.0.2,443,39844,3684
7,Mar 26, 2022 12:10:35.562995411 UTC,52,6,172.28.0.2,151.101.1.164,39844,443,0
8,Mar 26, 2022 12:10:35.563782646 UTC,145,6,172.28.0.2,151.101.1.164,39844,443,93
9,Mar 26, 2022 12:10:35.564628928 UTC,52,6,151.101.1.164,172.28.0.2,443,39844,0
10,Mar 26, 2022 12:10:35.564705605 UTC,103,6,151.101.1.164,172.28.0.2,443,39844,51
11,Mar 26, 2022 12:10:35.564710173 UTC,52,6,172.28.0.2,151.101.1.164,39844,443,0
12,Mar 26, 2022 12:10:35.564847982 UTC,105,6,172.28.0.2,151.101.1.164,39844,443,53
13,Mar 26, 2022 12:10:35.564864553 UTC,108,6,172.28.0.2,151.101.1.164,39844,443,56
14,Mar 26, 2022 12:10:35.564875047 UTC,94,6,172.28.0.2,151.101.1.164,39844,443,42
15,Mar 26, 2022 12:10:35.564901374 UTC,121,6,172.28.0.2,151.101.1.164,39844,443,69
16,Mar 26, 2022 12:10:35.565651661 UTC,52,6,151.101.1.164,172.28.0.2,443,39844,0
17,Mar 26, 2022 12:10:35.565758541 UTC,109,6,151.101.1.164,172.28.0.2,443,39844,57
18,Mar 26, 2022 12:10:35.565762161 UTC,52,6,172.28.0.2,151.101.1.164,39844,443,0
19,Mar 26, 2022 12:10:35.565796055 UTC,90,6,172.28.0.2,151.101.1.164,39844,443,38
20,Mar 26, 2022 12:10:35.565810622 UTC,52,6,151.101.1.164,172.28.0.2,443,39844,0
21,Mar 26, 2022 12:10:35.565811338 UTC,52,6,151.101.1.164,172.28.0.2,443,39844,0
22,Mar 26, 2022 12:10:35.565811919 UTC,52,6,151.101.1.164,172.28.0.2,443,39844,0
23,Mar 26, 2022 12:10:35.565909021 UTC,90,6,151.101.1.164,172.28.0.2,443,39844,38
24,Mar 26, 2022 12:10:35.566627742 UTC,52,6,151.101.1.164,172.28.0.2,443,39844,0
25,Mar 26, 2022 12:10:35.574467835 UTC,15936,6,151.101.1.164,172.28.0.2,443,39844,15884
26,Mar 26, 2022 12:10:35.574516984 UTC,52,6,172.28.0.2,151.101.1.164,39844,443,0
27,Mar 26, 2022 12:10:35.574799817 UTC,253,6,151.101.1.164,172.28.0.2,443,39844,201
28,Mar 26, 2022 12:10:35.574878120 UTC,15936,6,151.101.1.164,172.28.0.2,443,39844,15884
29,Mar 26, 2022 12:10:35.574892471 UTC,52,6,172.28.0.2,151.101.1.164,39844,443,0
30,Mar 26, 2022 12:10:35.575735588 UTC,8716,6,151.101.1.164,172.28.0.2,443,39844,8664
31,Mar 26, 2022 12:10:35.575745771 UTC,52,6,172.28.0.2,151.101.1.164,39844,443,0
32,Mar 26, 2022 12:10:35.576404305 UTC,20268,6,151.101.1.164,172.28.0.2,443,39844,20216
33,Mar 26, 2022 12:10:35.576444580 UTC,52,6,172.28.0.2,151.101.1.164,39844,443,0
34,Mar 26, 2022 12:10:35.577312056 UTC,10895,6,151.101.1.164,172.28.0.2,443,39844,10843
35,Mar 26, 2022 12:10:35.577324848 UTC,52,6,172.28.0.2,151.101.1.164,39844,443,0
36,Mar 26, 2022 12:10:35.577679955 UTC,761,6,151.101.1.164,172.28.0.2,443,39844,709
37,Mar 26, 2022 12:10:35.577857197 UTC,16580,6,151.101.1.164,172.28.0.2,443,39844,16528
38,Mar 26, 2022 12:10:35.577866537 UTC,52,6,172.28.0.2,151.101.1.164,39844,443,0
39,Mar 26, 2022 12:10:35.578268455 UTC,10764,6,151.101.1.164,172.28.0.2,443,39844,10712
40,Mar 26, 2022 12:10:35.578275379 UTC,52,6,172.28.0.2,151.101.1.164,39844,443,0
41,Mar 26, 2022 12:10:35.578566186 UTC,1496,6,151.101.1.164,172.28.0.2,443,39844,1444
42,Mar 26, 2022 12:10:35.578578502 UTC,52,6,172.28.0.2,151.101.1.164,39844,443,0
43,Mar 26, 2022 12:10:35.578567838 UTC,3136,6,151.101.1.164,172.28.0.2,443,39844,3084
44,Mar 26, 2022 12:10:35.578586894 UTC,52,6,172.28.0.2,151.101.1.164,39844,443,0
45,Mar 26, 2022 12:10:35.578797521 UTC,20860,6,151.101.1.164,172.28.0.2,443,39844,20808
46,Mar 26, 2022 12:10:35.578813096 UTC,52,6,172.28.0.2,151.101.1.164,39844,443,0
