frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 27, 2022 13:36:46.561362461 UTC,60,6,172.28.0.2,151.101.1.67,41878,443,0
2,Mar 27, 2022 13:36:46.563190341 UTC,60,6,151.101.1.67,172.28.0.2,443,41878,0
3,Mar 27, 2022 13:36:46.563228103 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
4,Mar 27, 2022 13:36:46.574864867 UTC,569,6,172.28.0.2,151.101.1.67,41878,443,517
5,Mar 27, 2022 13:36:46.576046417 UTC,52,6,151.101.1.67,172.28.0.2,443,41878,0
6,Mar 27, 2022 13:36:46.578755335 UTC,5108,6,151.101.1.67,172.28.0.2,443,41878,5056
7,Mar 27, 2022 13:36:46.578784305 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
8,Mar 27, 2022 13:36:46.580816437 UTC,145,6,172.28.0.2,151.101.1.67,41878,443,93
9,Mar 27, 2022 13:36:46.581904965 UTC,52,6,151.101.1.67,172.28.0.2,443,41878,0
10,Mar 27, 2022 13:36:46.582084176 UTC,103,6,151.101.1.67,172.28.0.2,443,41878,51
11,Mar 27, 2022 13:36:46.582093589 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
12,Mar 27, 2022 13:36:46.582365170 UTC,105,6,172.28.0.2,151.101.1.67,41878,443,53
13,Mar 27, 2022 13:36:46.582393320 UTC,108,6,172.28.0.2,151.101.1.67,41878,443,56
14,Mar 27, 2022 13:36:46.582410062 UTC,94,6,172.28.0.2,151.101.1.67,41878,443,42
15,Mar 27, 2022 13:36:46.582449470 UTC,119,6,172.28.0.2,151.101.1.67,41878,443,67
16,Mar 27, 2022 13:36:46.583391461 UTC,52,6,151.101.1.67,172.28.0.2,443,41878,0
17,Mar 27, 2022 13:36:46.583494171 UTC,109,6,151.101.1.67,172.28.0.2,443,41878,57
18,Mar 27, 2022 13:36:46.583499793 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
19,Mar 27, 2022 13:36:46.583525975 UTC,52,6,151.101.1.67,172.28.0.2,443,41878,0
20,Mar 27, 2022 13:36:46.583527107 UTC,52,6,151.101.1.67,172.28.0.2,443,41878,0
21,Mar 27, 2022 13:36:46.583528187 UTC,52,6,151.101.1.67,172.28.0.2,443,41878,0
22,Mar 27, 2022 13:36:46.583529302 UTC,90,6,151.101.1.67,172.28.0.2,443,41878,38
23,Mar 27, 2022 13:36:46.583540366 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
24,Mar 27, 2022 13:36:46.584463705 UTC,7272,6,151.101.1.67,172.28.0.2,443,41878,7220
25,Mar 27, 2022 13:36:46.584475348 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
26,Mar 27, 2022 13:36:46.584893171 UTC,7272,6,151.101.1.67,172.28.0.2,443,41878,7220
27,Mar 27, 2022 13:36:46.584905924 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
28,Mar 27, 2022 13:36:46.585734371 UTC,7272,6,151.101.1.67,172.28.0.2,443,41878,7220
29,Mar 27, 2022 13:36:46.585747745 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
30,Mar 27, 2022 13:36:46.586618975 UTC,7272,6,151.101.1.67,172.28.0.2,443,41878,7220
31,Mar 27, 2022 13:36:46.586634662 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
32,Mar 27, 2022 13:36:46.587281130 UTC,10160,6,151.101.1.67,172.28.0.2,443,41878,10108
33,Mar 27, 2022 13:36:46.587308359 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
34,Mar 27, 2022 13:36:46.587405220 UTC,90,6,172.28.0.2,151.101.1.67,41878,443,38
35,Mar 27, 2022 13:36:46.588143679 UTC,7272,6,151.101.1.67,172.28.0.2,443,41878,7220
36,Mar 27, 2022 13:36:46.588362675 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
37,Mar 27, 2022 13:36:46.588545858 UTC,14492,6,151.101.1.67,172.28.0.2,443,41878,14440
38,Mar 27, 2022 13:36:46.588567301 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
39,Mar 27, 2022 13:36:46.588757847 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
40,Mar 27, 2022 13:36:46.589351929 UTC,10676,6,151.101.1.67,172.28.0.2,443,41878,10624
41,Mar 27, 2022 13:36:46.589397215 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
42,Mar 27, 2022 13:36:46.590069291 UTC,52,6,151.101.1.67,172.28.0.2,443,41878,0
43,Mar 27, 2022 13:36:46.590071681 UTC,6044,6,151.101.1.67,172.28.0.2,443,41878,5992
44,Mar 27, 2022 13:36:46.590087978 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
45,Mar 27, 2022 13:36:46.590446910 UTC,5168,6,151.101.1.67,172.28.0.2,443,41878,5116
46,Mar 27, 2022 13:36:46.590458205 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
47,Mar 27, 2022 13:36:46.590799878 UTC,3560,6,151.101.1.67,172.28.0.2,443,41878,3508
48,Mar 27, 2022 13:36:46.590810846 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
49,Mar 27, 2022 13:36:46.590996463 UTC,6580,6,151.101.1.67,172.28.0.2,443,41878,6528
50,Mar 27, 2022 13:36:46.591007150 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
51,Mar 27, 2022 13:36:46.591397469 UTC,17380,6,151.101.1.67,172.28.0.2,443,41878,17328
52,Mar 27, 2022 13:36:46.591426406 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
53,Mar 27, 2022 13:36:46.592364120 UTC,7272,6,151.101.1.67,172.28.0.2,443,41878,7220
54,Mar 27, 2022 13:36:46.592376266 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
55,Mar 27, 2022 13:36:46.592663490 UTC,7272,6,151.101.1.67,172.28.0.2,443,41878,7220
56,Mar 27, 2022 13:36:46.592674900 UTC,52,6,172.28.0.2,151.101.1.67,41878,443,0
57,Mar 27, 2022 13:36:46.592986128 UTC,11604,6,151.101.1.67,172.28.0.2,443,41878,11552
