frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 27, 2022 13:42:03.100942896 UTC,60,6,172.28.0.2,74.6.136.150,39806,443,0
2,Mar 27, 2022 13:42:03.119391379 UTC,60,6,74.6.136.150,172.28.0.2,443,39806,0
3,Mar 27, 2022 13:42:03.119427251 UTC,52,6,172.28.0.2,74.6.136.150,39806,443,0
4,Mar 27, 2022 13:42:03.125944411 UTC,569,6,172.28.0.2,74.6.136.150,39806,443,517
5,Mar 27, 2022 13:42:03.143582837 UTC,52,6,74.6.136.150,172.28.0.2,443,39806,0
6,Mar 27, 2022 13:42:03.144092853 UTC,4148,6,74.6.136.150,172.28.0.2,443,39806,4096
7,Mar 27, 2022 13:42:03.144116892 UTC,52,6,172.28.0.2,74.6.136.150,39806,443,0
8,Mar 27, 2022 13:42:03.144917795 UTC,1440,6,74.6.136.150,172.28.0.2,443,39806,1388
9,Mar 27, 2022 13:42:03.144928264 UTC,52,6,172.28.0.2,74.6.136.150,39806,443,0
10,Mar 27, 2022 13:42:03.145615453 UTC,116,6,172.28.0.2,74.6.136.150,39806,443,64
11,Mar 27, 2022 13:42:03.145774001 UTC,98,6,172.28.0.2,74.6.136.150,39806,443,46
12,Mar 27, 2022 13:42:03.145791433 UTC,101,6,172.28.0.2,74.6.136.150,39806,443,49
13,Mar 27, 2022 13:42:03.145801041 UTC,87,6,172.28.0.2,74.6.136.150,39806,443,35
14,Mar 27, 2022 13:42:03.145829850 UTC,119,6,172.28.0.2,74.6.136.150,39806,443,67
15,Mar 27, 2022 13:42:03.163436042 UTC,339,6,74.6.136.150,172.28.0.2,443,39806,287
16,Mar 27, 2022 13:42:03.163463332 UTC,52,6,172.28.0.2,74.6.136.150,39806,443,0
17,Mar 27, 2022 13:42:03.163437503 UTC,339,6,74.6.136.150,172.28.0.2,443,39806,287
18,Mar 27, 2022 13:42:03.163475407 UTC,52,6,172.28.0.2,74.6.136.150,39806,443,0
19,Mar 27, 2022 13:42:03.164419707 UTC,1374,6,74.6.136.150,172.28.0.2,443,39806,1322
20,Mar 27, 2022 13:42:03.164435117 UTC,52,6,172.28.0.2,74.6.136.150,39806,443,0
21,Mar 27, 2022 13:42:03.164475270 UTC,1374,6,74.6.136.150,172.28.0.2,443,39806,1322
22,Mar 27, 2022 13:42:03.164481374 UTC,52,6,172.28.0.2,74.6.136.150,39806,443,0
23,Mar 27, 2022 13:42:03.164475967 UTC,1374,6,74.6.136.150,172.28.0.2,443,39806,1322
24,Mar 27, 2022 13:42:03.164484637 UTC,52,6,172.28.0.2,74.6.136.150,39806,443,0
25,Mar 27, 2022 13:42:03.164476631 UTC,998,6,74.6.136.150,172.28.0.2,443,39806,946
26,Mar 27, 2022 13:42:03.164490384 UTC,52,6,172.28.0.2,74.6.136.150,39806,443,0
27,Mar 27, 2022 13:42:03.164599066 UTC,83,6,172.28.0.2,74.6.136.150,39806,443,31
28,Mar 27, 2022 13:42:03.164738391 UTC,76,6,172.28.0.2,74.6.136.150,39806,443,24
29,Mar 27, 2022 13:42:03.165617430 UTC,52,6,172.28.0.2,74.6.136.150,39806,443,0
30,Mar 27, 2022 13:42:03.182356555 UTC,52,6,74.6.136.150,172.28.0.2,443,39806,0
31,Mar 27, 2022 13:42:03.182358420 UTC,76,6,74.6.136.150,172.28.0.2,443,39806,24
32,Mar 27, 2022 13:42:03.182395285 UTC,40,6,172.28.0.2,74.6.136.150,39806,443,0
33,Mar 27, 2022 13:42:03.182359102 UTC,52,6,74.6.136.150,172.28.0.2,443,39806,0
34,Mar 27, 2022 13:42:03.182403196 UTC,40,6,172.28.0.2,74.6.136.150,39806,443,0
35,Mar 27, 2022 13:42:03.183237525 UTC,52,6,74.6.136.150,172.28.0.2,443,39806,0
36,Mar 27, 2022 13:42:03.183252949 UTC,40,6,172.28.0.2,74.6.136.150,39806,443,0
37,Mar 27, 2022 13:42:08.193455189 UTC,60,6,172.28.0.2,74.6.136.150,39812,443,0
38,Mar 27, 2022 13:42:08.210436512 UTC,60,6,74.6.136.150,172.28.0.2,443,39812,0
39,Mar 27, 2022 13:42:08.210472242 UTC,52,6,172.28.0.2,74.6.136.150,39812,443,0
40,Mar 27, 2022 13:42:08.217087004 UTC,569,6,172.28.0.2,74.6.136.150,39812,443,517
41,Mar 27, 2022 13:42:08.233987217 UTC,52,6,74.6.136.150,172.28.0.2,443,39812,0
42,Mar 27, 2022 13:42:08.234652276 UTC,4148,6,74.6.136.150,172.28.0.2,443,39812,4096
43,Mar 27, 2022 13:42:08.234672554 UTC,52,6,172.28.0.2,74.6.136.150,39812,443,0
44,Mar 27, 2022 13:42:08.235569440 UTC,1440,6,74.6.136.150,172.28.0.2,443,39812,1388
45,Mar 27, 2022 13:42:08.235582673 UTC,52,6,172.28.0.2,74.6.136.150,39812,443,0
46,Mar 27, 2022 13:42:08.236211453 UTC,116,6,172.28.0.2,74.6.136.150,39812,443,64
47,Mar 27, 2022 13:42:08.236422190 UTC,98,6,172.28.0.2,74.6.136.150,39812,443,46
48,Mar 27, 2022 13:42:08.236440824 UTC,101,6,172.28.0.2,74.6.136.150,39812,443,49
49,Mar 27, 2022 13:42:08.236450658 UTC,87,6,172.28.0.2,74.6.136.150,39812,443,35
50,Mar 27, 2022 13:42:08.236479601 UTC,119,6,172.28.0.2,74.6.136.150,39812,443,67
51,Mar 27, 2022 13:42:08.253403509 UTC,339,6,74.6.136.150,172.28.0.2,443,39812,287
52,Mar 27, 2022 13:42:08.253428674 UTC,52,6,172.28.0.2,74.6.136.150,39812,443,0
53,Mar 27, 2022 13:42:08.253405167 UTC,339,6,74.6.136.150,172.28.0.2,443,39812,287
54,Mar 27, 2022 13:42:08.253440646 UTC,52,6,172.28.0.2,74.6.136.150,39812,443,0
55,Mar 27, 2022 13:42:08.254561732 UTC,1374,6,74.6.136.150,172.28.0.2,443,39812,1322
56,Mar 27, 2022 13:42:08.254574950 UTC,52,6,172.28.0.2,74.6.136.150,39812,443,0
57,Mar 27, 2022 13:42:08.254563287 UTC,1374,6,74.6.136.150,172.28.0.2,443,39812,1322
58,Mar 27, 2022 13:42:08.254583459 UTC,52,6,172.28.0.2,74.6.136.150,39812,443,0
59,Mar 27, 2022 13:42:08.254599661 UTC,1374,6,74.6.136.150,172.28.0.2,443,39812,1322
60,Mar 27, 2022 13:42:08.254608680 UTC,52,6,172.28.0.2,74.6.136.150,39812,443,0
61,Mar 27, 2022 13:42:08.254600321 UTC,998,6,74.6.136.150,172.28.0.2,443,39812,946
62,Mar 27, 2022 13:42:08.254614300 UTC,52,6,172.28.0.2,74.6.136.150,39812,443,0
63,Mar 27, 2022 13:42:08.254714120 UTC,83,6,172.28.0.2,74.6.136.150,39812,443,31
64,Mar 27, 2022 13:42:08.254857716 UTC,76,6,172.28.0.2,74.6.136.150,39812,443,24
65,Mar 27, 2022 13:42:08.255656491 UTC,52,6,172.28.0.2,74.6.136.150,39812,443,0
66,Mar 27, 2022 13:42:08.271724988 UTC,52,6,74.6.136.150,172.28.0.2,443,39812,0
67,Mar 27, 2022 13:42:08.271726529 UTC,76,6,74.6.136.150,172.28.0.2,443,39812,24
68,Mar 27, 2022 13:42:08.271762625 UTC,40,6,172.28.0.2,74.6.136.150,39812,443,0
69,Mar 27, 2022 13:42:08.271727185 UTC,52,6,74.6.136.150,172.28.0.2,443,39812,0
70,Mar 27, 2022 13:42:08.271770155 UTC,40,6,172.28.0.2,74.6.136.150,39812,443,0
71,Mar 27, 2022 13:42:08.272438562 UTC,52,6,74.6.136.150,172.28.0.2,443,39812,0
72,Mar 27, 2022 13:42:08.272454415 UTC,40,6,172.28.0.2,74.6.136.150,39812,443,0
73,Mar 27, 2022 13:42:13.283371824 UTC,60,6,172.28.0.2,74.6.136.150,39876,443,0
74,Mar 27, 2022 13:42:13.300443571 UTC,60,6,74.6.136.150,172.28.0.2,443,39876,0
75,Mar 27, 2022 13:42:13.300484044 UTC,52,6,172.28.0.2,74.6.136.150,39876,443,0
76,Mar 27, 2022 13:42:13.307176222 UTC,569,6,172.28.0.2,74.6.136.150,39876,443,517
77,Mar 27, 2022 13:42:13.323832964 UTC,52,6,74.6.136.150,172.28.0.2,443,39876,0
78,Mar 27, 2022 13:42:13.324378021 UTC,4148,6,74.6.136.150,172.28.0.2,443,39876,4096
79,Mar 27, 2022 13:42:13.324408177 UTC,52,6,172.28.0.2,74.6.136.150,39876,443,0
80,Mar 27, 2022 13:42:13.325227515 UTC,1440,6,74.6.136.150,172.28.0.2,443,39876,1388
81,Mar 27, 2022 13:42:13.325241466 UTC,52,6,172.28.0.2,74.6.136.150,39876,443,0
82,Mar 27, 2022 13:42:13.325929560 UTC,116,6,172.28.0.2,74.6.136.150,39876,443,64
83,Mar 27, 2022 13:42:13.326086245 UTC,98,6,172.28.0.2,74.6.136.150,39876,443,46
84,Mar 27, 2022 13:42:13.326102664 UTC,101,6,172.28.0.2,74.6.136.150,39876,443,49
85,Mar 27, 2022 13:42:13.326112664 UTC,87,6,172.28.0.2,74.6.136.150,39876,443,35
86,Mar 27, 2022 13:42:13.326141085 UTC,119,6,172.28.0.2,74.6.136.150,39876,443,67
87,Mar 27, 2022 13:42:13.342893466 UTC,339,6,74.6.136.150,172.28.0.2,443,39876,287
88,Mar 27, 2022 13:42:13.342916325 UTC,52,6,172.28.0.2,74.6.136.150,39876,443,0
89,Mar 27, 2022 13:42:13.342998799 UTC,339,6,74.6.136.150,172.28.0.2,443,39876,287
90,Mar 27, 2022 13:42:13.343002942 UTC,52,6,172.28.0.2,74.6.136.150,39876,443,0
91,Mar 27, 2022 13:42:13.343901993 UTC,1374,6,74.6.136.150,172.28.0.2,443,39876,1322
92,Mar 27, 2022 13:42:13.343914388 UTC,52,6,172.28.0.2,74.6.136.150,39876,443,0
