frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 27, 2022 13:35:48.895174693 UTC,60,6,172.28.0.2,204.79.197.203,53142,443,0
2,Mar 27, 2022 13:35:48.897589600 UTC,52,6,204.79.197.203,172.28.0.2,443,53142,0
3,Mar 27, 2022 13:35:48.897615680 UTC,40,6,172.28.0.2,204.79.197.203,53142,443,0
4,Mar 27, 2022 13:35:48.904189381 UTC,557,6,172.28.0.2,204.79.197.203,53142,443,517
5,Mar 27, 2022 13:35:48.905835605 UTC,40,6,204.79.197.203,172.28.0.2,443,53142,0
6,Mar 27, 2022 13:35:48.907238568 UTC,3973,6,204.79.197.203,172.28.0.2,443,53142,3933
7,Mar 27, 2022 13:35:48.907260036 UTC,40,6,172.28.0.2,204.79.197.203,53142,443,0
8,Mar 27, 2022 13:35:48.911510901 UTC,198,6,172.28.0.2,204.79.197.203,53142,443,158
9,Mar 27, 2022 13:35:48.913057394 UTC,40,6,204.79.197.203,172.28.0.2,443,53142,0
10,Mar 27, 2022 13:35:48.914416612 UTC,91,6,204.79.197.203,172.28.0.2,443,53142,51
11,Mar 27, 2022 13:35:48.914428306 UTC,40,6,172.28.0.2,204.79.197.203,53142,443,0
12,Mar 27, 2022 13:35:48.914467099 UTC,109,6,204.79.197.203,172.28.0.2,443,53142,69
13,Mar 27, 2022 13:35:48.914473240 UTC,40,6,172.28.0.2,204.79.197.203,53142,443,0
14,Mar 27, 2022 13:35:48.914723878 UTC,93,6,172.28.0.2,204.79.197.203,53142,443,53
15,Mar 27, 2022 13:35:48.914742566 UTC,96,6,172.28.0.2,204.79.197.203,53142,443,56
16,Mar 27, 2022 13:35:48.914752624 UTC,82,6,172.28.0.2,204.79.197.203,53142,443,42
17,Mar 27, 2022 13:35:48.914782207 UTC,107,6,172.28.0.2,204.79.197.203,53142,443,67
18,Mar 27, 2022 13:35:48.914806311 UTC,78,6,172.28.0.2,204.79.197.203,53142,443,38
19,Mar 27, 2022 13:35:48.916247547 UTC,40,6,204.79.197.203,172.28.0.2,443,53142,0
20,Mar 27, 2022 13:35:48.916345856 UTC,40,6,204.79.197.203,172.28.0.2,443,53142,0
21,Mar 27, 2022 13:35:48.916346657 UTC,40,6,204.79.197.203,172.28.0.2,443,53142,0
22,Mar 27, 2022 13:35:48.916407697 UTC,78,6,204.79.197.203,172.28.0.2,443,53142,38
23,Mar 27, 2022 13:35:48.916411706 UTC,40,6,172.28.0.2,204.79.197.203,53142,443,0
24,Mar 27, 2022 13:35:49.477169180 UTC,5551,6,204.79.197.203,172.28.0.2,443,53142,5511
25,Mar 27, 2022 13:35:49.477200723 UTC,40,6,172.28.0.2,204.79.197.203,53142,443,0
26,Mar 27, 2022 13:35:49.477225330 UTC,8270,6,204.79.197.203,172.28.0.2,443,53142,8230
27,Mar 27, 2022 13:35:49.477253362 UTC,40,6,172.28.0.2,204.79.197.203,53142,443,0
28,Mar 27, 2022 13:35:49.477226191 UTC,2658,6,204.79.197.203,172.28.0.2,443,53142,2618
29,Mar 27, 2022 13:35:49.477256963 UTC,40,6,172.28.0.2,204.79.197.203,53142,443,0
30,Mar 27, 2022 13:35:49.477226937 UTC,8270,6,204.79.197.203,172.28.0.2,443,53142,8230
31,Mar 27, 2022 13:35:49.477264496 UTC,40,6,172.28.0.2,204.79.197.203,53142,443,0
32,Mar 27, 2022 13:35:49.477276114 UTC,1500,6,204.79.197.203,172.28.0.2,443,53142,1460
33,Mar 27, 2022 13:35:49.477279108 UTC,40,6,172.28.0.2,204.79.197.203,53142,443,0
34,Mar 27, 2022 13:35:49.478860565 UTC,7340,6,204.79.197.203,172.28.0.2,443,53142,7300
35,Mar 27, 2022 13:35:49.478879665 UTC,40,6,172.28.0.2,204.79.197.203,53142,443,0
36,Mar 27, 2022 13:35:49.478862712 UTC,8800,6,204.79.197.203,172.28.0.2,443,53142,8760
