frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 27, 2022 13:42:56.120881463 UTC,60,6,172.28.0.2,74.6.136.150,40264,443,0
2,Mar 27, 2022 13:42:56.138985199 UTC,60,6,74.6.136.150,172.28.0.2,443,40264,0
3,Mar 27, 2022 13:42:56.139012532 UTC,52,6,172.28.0.2,74.6.136.150,40264,443,0
4,Mar 27, 2022 13:42:56.145411810 UTC,569,6,172.28.0.2,74.6.136.150,40264,443,517
5,Mar 27, 2022 13:42:56.162914163 UTC,52,6,74.6.136.150,172.28.0.2,443,40264,0
6,Mar 27, 2022 13:42:56.163043942 UTC,4148,6,74.6.136.150,172.28.0.2,443,40264,4096
7,Mar 27, 2022 13:42:56.163061930 UTC,52,6,172.28.0.2,74.6.136.150,40264,443,0
8,Mar 27, 2022 13:42:56.163957199 UTC,1440,6,74.6.136.150,172.28.0.2,443,40264,1388
9,Mar 27, 2022 13:42:56.163965000 UTC,52,6,172.28.0.2,74.6.136.150,40264,443,0
10,Mar 27, 2022 13:42:56.164619031 UTC,116,6,172.28.0.2,74.6.136.150,40264,443,64
11,Mar 27, 2022 13:42:56.164762883 UTC,98,6,172.28.0.2,74.6.136.150,40264,443,46
12,Mar 27, 2022 13:42:56.164777515 UTC,101,6,172.28.0.2,74.6.136.150,40264,443,49
13,Mar 27, 2022 13:42:56.164787789 UTC,87,6,172.28.0.2,74.6.136.150,40264,443,35
14,Mar 27, 2022 13:42:56.164818821 UTC,117,6,172.28.0.2,74.6.136.150,40264,443,65
15,Mar 27, 2022 13:42:56.182013934 UTC,339,6,74.6.136.150,172.28.0.2,443,40264,287
16,Mar 27, 2022 13:42:56.182034697 UTC,52,6,172.28.0.2,74.6.136.150,40264,443,0
17,Mar 27, 2022 13:42:56.182068560 UTC,339,6,74.6.136.150,172.28.0.2,443,40264,287
18,Mar 27, 2022 13:42:56.182072429 UTC,52,6,172.28.0.2,74.6.136.150,40264,443,0
19,Mar 27, 2022 13:42:56.183144284 UTC,1374,6,74.6.136.150,172.28.0.2,443,40264,1322
20,Mar 27, 2022 13:42:56.183153165 UTC,52,6,172.28.0.2,74.6.136.150,40264,443,0
21,Mar 27, 2022 13:42:56.183145491 UTC,1374,6,74.6.136.150,172.28.0.2,443,40264,1322
22,Mar 27, 2022 13:42:56.183158690 UTC,52,6,172.28.0.2,74.6.136.150,40264,443,0
23,Mar 27, 2022 13:42:56.183146148 UTC,1374,6,74.6.136.150,172.28.0.2,443,40264,1322
24,Mar 27, 2022 13:42:56.183162016 UTC,52,6,172.28.0.2,74.6.136.150,40264,443,0
25,Mar 27, 2022 13:42:56.183146775 UTC,995,6,74.6.136.150,172.28.0.2,443,40264,943
26,Mar 27, 2022 13:42:56.183168054 UTC,52,6,172.28.0.2,74.6.136.150,40264,443,0
27,Mar 27, 2022 13:42:56.183257954 UTC,83,6,172.28.0.2,74.6.136.150,40264,443,31
28,Mar 27, 2022 13:42:56.183394835 UTC,76,6,172.28.0.2,74.6.136.150,40264,443,24
29,Mar 27, 2022 13:42:56.184131785 UTC,52,6,172.28.0.2,74.6.136.150,40264,443,0
30,Mar 27, 2022 13:42:56.200457431 UTC,52,6,74.6.136.150,172.28.0.2,443,40264,0
