frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 27, 2022 13:31:10.568995415 UTC,60,6,172.28.0.2,185.79.236.174,57550,443,0
2,Mar 27, 2022 13:31:10.684861702 UTC,60,6,185.79.236.174,172.28.0.2,443,57550,0
3,Mar 27, 2022 13:31:10.684890725 UTC,52,6,172.28.0.2,185.79.236.174,57550,443,0
4,Mar 27, 2022 13:31:10.710733469 UTC,569,6,172.28.0.2,185.79.236.174,57550,443,517
5,Mar 27, 2022 13:31:10.826053961 UTC,52,6,185.79.236.174,172.28.0.2,443,57550,0
6,Mar 27, 2022 13:31:10.832938309 UTC,3407,6,185.79.236.174,172.28.0.2,443,57550,3355
7,Mar 27, 2022 13:31:10.832969578 UTC,52,6,172.28.0.2,185.79.236.174,57550,443,0
8,Mar 27, 2022 13:31:10.834983687 UTC,132,6,172.28.0.2,185.79.236.174,57550,443,80
9,Mar 27, 2022 13:31:10.835137087 UTC,98,6,172.28.0.2,185.79.236.174,57550,443,46
10,Mar 27, 2022 13:31:10.835154754 UTC,101,6,172.28.0.2,185.79.236.174,57550,443,49
11,Mar 27, 2022 13:31:10.835167845 UTC,87,6,172.28.0.2,185.79.236.174,57550,443,35
12,Mar 27, 2022 13:31:10.835205760 UTC,111,6,172.28.0.2,185.79.236.174,57550,443,59
13,Mar 27, 2022 13:31:10.950384650 UTC,339,6,185.79.236.174,172.28.0.2,443,57550,287
14,Mar 27, 2022 13:31:10.950405923 UTC,52,6,172.28.0.2,185.79.236.174,57550,443,0
15,Mar 27, 2022 13:31:10.950442928 UTC,339,6,185.79.236.174,172.28.0.2,443,57550,287
16,Mar 27, 2022 13:31:10.950453199 UTC,52,6,172.28.0.2,185.79.236.174,57550,443,0
17,Mar 27, 2022 13:31:10.950444119 UTC,114,6,185.79.236.174,172.28.0.2,443,57550,62
18,Mar 27, 2022 13:31:10.950457118 UTC,52,6,172.28.0.2,185.79.236.174,57550,443,0
19,Mar 27, 2022 13:31:10.950501508 UTC,52,6,185.79.236.174,172.28.0.2,443,57550,0
20,Mar 27, 2022 13:31:10.950573218 UTC,255,6,185.79.236.174,172.28.0.2,443,57550,203
21,Mar 27, 2022 13:31:10.950577506 UTC,52,6,172.28.0.2,185.79.236.174,57550,443,0
22,Mar 27, 2022 13:31:10.950644334 UTC,83,6,172.28.0.2,185.79.236.174,57550,443,31
23,Mar 27, 2022 13:31:10.951128434 UTC,8740,6,185.79.236.174,172.28.0.2,443,57550,8688
24,Mar 27, 2022 13:31:10.951138678 UTC,52,6,172.28.0.2,185.79.236.174,57550,443,0
25,Mar 27, 2022 13:31:11.065905264 UTC,2948,6,185.79.236.174,172.28.0.2,443,57550,2896
26,Mar 27, 2022 13:31:11.065927990 UTC,52,6,172.28.0.2,185.79.236.174,57550,443,0
27,Mar 27, 2022 13:31:11.065970885 UTC,5844,6,185.79.236.174,172.28.0.2,443,57550,5792
28,Mar 27, 2022 13:31:11.065982274 UTC,52,6,172.28.0.2,185.79.236.174,57550,443,0
29,Mar 27, 2022 13:31:11.065972467 UTC,2948,6,185.79.236.174,172.28.0.2,443,57550,2896
