frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 27, 2022 13:40:17.411497301 UTC,60,6,172.28.0.2,151.101.1.111,48234,443,0
2,Mar 27, 2022 13:40:17.413432136 UTC,60,6,151.101.1.111,172.28.0.2,443,48234,0
3,Mar 27, 2022 13:40:17.413450458 UTC,52,6,172.28.0.2,151.101.1.111,48234,443,0
4,Mar 27, 2022 13:40:17.419715237 UTC,569,6,172.28.0.2,151.101.1.111,48234,443,517
5,Mar 27, 2022 13:40:17.421111688 UTC,52,6,151.101.1.111,172.28.0.2,443,48234,0
6,Mar 27, 2022 13:40:17.422948049 UTC,4393,6,151.101.1.111,172.28.0.2,443,48234,4341
7,Mar 27, 2022 13:40:17.422960786 UTC,52,6,172.28.0.2,151.101.1.111,48234,443,0
8,Mar 27, 2022 13:40:17.423709346 UTC,132,6,172.28.0.2,151.101.1.111,48234,443,80
9,Mar 27, 2022 13:40:17.423816276 UTC,98,6,172.28.0.2,151.101.1.111,48234,443,46
10,Mar 27, 2022 13:40:17.423831535 UTC,101,6,172.28.0.2,151.101.1.111,48234,443,49
11,Mar 27, 2022 13:40:17.423841514 UTC,87,6,172.28.0.2,151.101.1.111,48234,443,35
12,Mar 27, 2022 13:40:17.423869739 UTC,117,6,172.28.0.2,151.101.1.111,48234,443,65
13,Mar 27, 2022 13:40:17.424896243 UTC,52,6,151.101.1.111,172.28.0.2,443,48234,0
14,Mar 27, 2022 13:40:17.424986627 UTC,52,6,151.101.1.111,172.28.0.2,443,48234,0
15,Mar 27, 2022 13:40:17.424987358 UTC,102,6,151.101.1.111,172.28.0.2,443,48234,50
16,Mar 27, 2022 13:40:17.424993185 UTC,52,6,172.28.0.2,151.101.1.111,48234,443,0
17,Mar 27, 2022 13:40:17.425030909 UTC,83,6,172.28.0.2,151.101.1.111,48234,443,31
18,Mar 27, 2022 13:40:17.425131233 UTC,52,6,151.101.1.111,172.28.0.2,443,48234,0
19,Mar 27, 2022 13:40:17.425131974 UTC,52,6,151.101.1.111,172.28.0.2,443,48234,0
20,Mar 27, 2022 13:40:17.425132583 UTC,52,6,151.101.1.111,172.28.0.2,443,48234,0
21,Mar 27, 2022 13:40:17.425256935 UTC,83,6,151.101.1.111,172.28.0.2,443,48234,31
22,Mar 27, 2022 13:40:17.425259799 UTC,52,6,172.28.0.2,151.101.1.111,48234,443,0
23,Mar 27, 2022 13:40:17.425646646 UTC,838,6,151.101.1.111,172.28.0.2,443,48234,786
24,Mar 27, 2022 13:40:17.425651170 UTC,52,6,172.28.0.2,151.101.1.111,48234,443,0
25,Mar 27, 2022 13:40:17.425768791 UTC,76,6,172.28.0.2,151.101.1.111,48234,443,24
26,Mar 27, 2022 13:40:17.426256602 UTC,52,6,151.101.1.111,172.28.0.2,443,48234,0
27,Mar 27, 2022 13:40:17.426504013 UTC,52,6,172.28.0.2,151.101.1.111,48234,443,0
28,Mar 27, 2022 13:40:17.426901540 UTC,52,6,151.101.1.111,172.28.0.2,443,48234,0
29,Mar 27, 2022 13:40:17.427266018 UTC,76,6,151.101.1.111,172.28.0.2,443,48234,24
30,Mar 27, 2022 13:40:17.427280604 UTC,40,6,172.28.0.2,151.101.1.111,48234,443,0
31,Mar 27, 2022 13:40:17.427266895 UTC,52,6,151.101.1.111,172.28.0.2,443,48234,0
32,Mar 27, 2022 13:40:17.427287329 UTC,40,6,172.28.0.2,151.101.1.111,48234,443,0
33,Mar 27, 2022 13:40:17.427682687 UTC,52,6,151.101.1.111,172.28.0.2,443,48234,0
34,Mar 27, 2022 13:40:17.427687712 UTC,40,6,172.28.0.2,151.101.1.111,48234,443,0
35,Mar 27, 2022 13:40:22.454256468 UTC,60,6,172.28.0.2,151.101.1.111,48244,443,0
36,Mar 27, 2022 13:40:22.455744140 UTC,60,6,151.101.1.111,172.28.0.2,443,48244,0
37,Mar 27, 2022 13:40:22.455764433 UTC,52,6,172.28.0.2,151.101.1.111,48244,443,0
38,Mar 27, 2022 13:40:22.462112805 UTC,569,6,172.28.0.2,151.101.1.111,48244,443,517
39,Mar 27, 2022 13:40:22.463533850 UTC,52,6,151.101.1.111,172.28.0.2,443,48244,0
40,Mar 27, 2022 13:40:22.464914411 UTC,4393,6,151.101.1.111,172.28.0.2,443,48244,4341
41,Mar 27, 2022 13:40:22.464929043 UTC,52,6,172.28.0.2,151.101.1.111,48244,443,0
42,Mar 27, 2022 13:40:22.465696961 UTC,132,6,172.28.0.2,151.101.1.111,48244,443,80
43,Mar 27, 2022 13:40:22.465809892 UTC,98,6,172.28.0.2,151.101.1.111,48244,443,46
44,Mar 27, 2022 13:40:22.465825259 UTC,101,6,172.28.0.2,151.101.1.111,48244,443,49
45,Mar 27, 2022 13:40:22.465835013 UTC,87,6,172.28.0.2,151.101.1.111,48244,443,35
46,Mar 27, 2022 13:40:22.465864431 UTC,117,6,172.28.0.2,151.101.1.111,48244,443,65
47,Mar 27, 2022 13:40:22.467036894 UTC,52,6,151.101.1.111,172.28.0.2,443,48244,0
48,Mar 27, 2022 13:40:22.467074240 UTC,52,6,151.101.1.111,172.28.0.2,443,48244,0
49,Mar 27, 2022 13:40:22.467074999 UTC,52,6,151.101.1.111,172.28.0.2,443,48244,0
50,Mar 27, 2022 13:40:22.467181943 UTC,111,6,151.101.1.111,172.28.0.2,443,48244,59
51,Mar 27, 2022 13:40:22.467188437 UTC,52,6,172.28.0.2,151.101.1.111,48244,443,0
52,Mar 27, 2022 13:40:22.467182688 UTC,52,6,151.101.1.111,172.28.0.2,443,48244,0
53,Mar 27, 2022 13:40:22.467183336 UTC,52,6,151.101.1.111,172.28.0.2,443,48244,0
54,Mar 27, 2022 13:40:22.467264058 UTC,83,6,172.28.0.2,151.101.1.111,48244,443,31
55,Mar 27, 2022 13:40:22.467545334 UTC,838,6,151.101.1.111,172.28.0.2,443,48244,786
56,Mar 27, 2022 13:40:22.467556982 UTC,52,6,172.28.0.2,151.101.1.111,48244,443,0
57,Mar 27, 2022 13:40:22.467713089 UTC,76,6,172.28.0.2,151.101.1.111,48244,443,24
