frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 28, 2022 08:59:01.084473614 UTC,60,6,172.28.0.2,13.32.181.22,45722,443,0
2,Mar 28, 2022 08:59:01.086960687 UTC,60,6,13.32.181.22,172.28.0.2,443,45722,0
3,Mar 28, 2022 08:59:01.086990307 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
4,Mar 28, 2022 08:59:01.093429553 UTC,569,6,172.28.0.2,13.32.181.22,45722,443,517
5,Mar 28, 2022 08:59:01.094860040 UTC,52,6,13.32.181.22,172.28.0.2,443,45722,0
6,Mar 28, 2022 08:59:01.095456186 UTC,4336,6,13.32.181.22,172.28.0.2,443,45722,4284
7,Mar 28, 2022 08:59:01.095478242 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
8,Mar 28, 2022 08:59:01.097215774 UTC,1265,6,13.32.181.22,172.28.0.2,443,45722,1213
9,Mar 28, 2022 08:59:01.097228497 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
10,Mar 28, 2022 08:59:01.098910215 UTC,116,6,172.28.0.2,13.32.181.22,45722,443,64
11,Mar 28, 2022 08:59:01.099025408 UTC,98,6,172.28.0.2,13.32.181.22,45722,443,46
12,Mar 28, 2022 08:59:01.099039323 UTC,101,6,172.28.0.2,13.32.181.22,45722,443,49
13,Mar 28, 2022 08:59:01.099048576 UTC,87,6,172.28.0.2,13.32.181.22,45722,443,35
14,Mar 28, 2022 08:59:01.099076764 UTC,116,6,172.28.0.2,13.32.181.22,45722,443,64
15,Mar 28, 2022 08:59:01.100323666 UTC,52,6,13.32.181.22,172.28.0.2,443,45722,0
16,Mar 28, 2022 08:59:01.100342829 UTC,52,6,13.32.181.22,172.28.0.2,443,45722,0
17,Mar 28, 2022 08:59:01.100343552 UTC,52,6,13.32.181.22,172.28.0.2,443,45722,0
18,Mar 28, 2022 08:59:01.100344229 UTC,52,6,13.32.181.22,172.28.0.2,443,45722,0
19,Mar 28, 2022 08:59:01.100451281 UTC,52,6,13.32.181.22,172.28.0.2,443,45722,0
20,Mar 28, 2022 08:59:01.100615382 UTC,123,6,13.32.181.22,172.28.0.2,443,45722,71
21,Mar 28, 2022 08:59:01.100621214 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
22,Mar 28, 2022 08:59:01.100684883 UTC,83,6,172.28.0.2,13.32.181.22,45722,443,31
23,Mar 28, 2022 08:59:01.102081805 UTC,52,6,13.32.181.22,172.28.0.2,443,45722,0
24,Mar 28, 2022 08:59:01.109001496 UTC,16458,6,13.32.181.22,172.28.0.2,443,45722,16406
25,Mar 28, 2022 08:59:01.109031825 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
26,Mar 28, 2022 08:59:01.109071449 UTC,21472,6,13.32.181.22,172.28.0.2,443,45722,21420
27,Mar 28, 2022 08:59:01.109083493 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
28,Mar 28, 2022 08:59:01.109604029 UTC,4336,6,13.32.181.22,172.28.0.2,443,45722,4284
29,Mar 28, 2022 08:59:01.109620114 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
30,Mar 28, 2022 08:59:01.110472651 UTC,30040,6,13.32.181.22,172.28.0.2,443,45722,29988
31,Mar 28, 2022 08:59:01.110494518 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
32,Mar 28, 2022 08:59:01.110800940 UTC,1480,6,13.32.181.22,172.28.0.2,443,45722,1428
33,Mar 28, 2022 08:59:01.110813300 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
34,Mar 28, 2022 08:59:01.111129915 UTC,12904,6,13.32.181.22,172.28.0.2,443,45722,12852
35,Mar 28, 2022 08:59:01.111146045 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
36,Mar 28, 2022 08:59:01.111131182 UTC,17992,6,13.32.181.22,172.28.0.2,443,45722,17940
37,Mar 28, 2022 08:59:01.111156754 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
38,Mar 28, 2022 08:59:01.111855063 UTC,17624,6,13.32.181.22,172.28.0.2,443,45722,17572
39,Mar 28, 2022 08:59:01.111868866 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
40,Mar 28, 2022 08:59:01.112192087 UTC,14520,6,13.32.181.22,172.28.0.2,443,45722,14468
41,Mar 28, 2022 08:59:01.112206932 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
42,Mar 28, 2022 08:59:01.112647804 UTC,31468,6,13.32.181.22,172.28.0.2,443,45722,31416
43,Mar 28, 2022 08:59:01.112667166 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
44,Mar 28, 2022 08:59:01.112692866 UTC,31468,6,13.32.181.22,172.28.0.2,443,45722,31416
45,Mar 28, 2022 08:59:01.112708838 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
46,Mar 28, 2022 08:59:01.113085207 UTC,31468,6,13.32.181.22,172.28.0.2,443,45722,31416
47,Mar 28, 2022 08:59:01.113104841 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
48,Mar 28, 2022 08:59:01.113176928 UTC,2404,6,13.32.181.22,172.28.0.2,443,45722,2352
49,Mar 28, 2022 08:59:01.113182844 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
50,Mar 28, 2022 08:59:01.113302585 UTC,1480,6,13.32.181.22,172.28.0.2,443,45722,1428
51,Mar 28, 2022 08:59:01.113308388 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
52,Mar 28, 2022 08:59:01.113303533 UTC,27688,6,13.32.181.22,172.28.0.2,443,45722,27636
53,Mar 28, 2022 08:59:01.113335575 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
54,Mar 28, 2022 08:59:01.113582246 UTC,31468,6,13.32.181.22,172.28.0.2,443,45722,31416
55,Mar 28, 2022 08:59:01.113602002 UTC,52,6,172.28.0.2,13.32.181.22,45722,443,0
56,Mar 28, 2022 08:59:01.114008498 UTC,15818,6,13.32.181.22,172.28.0.2,443,45722,15766
