frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 28, 2022 09:09:54.085036023 UTC,60,6,172.28.0.2,104.106.163.140,34410,443,0
2,Mar 28, 2022 09:09:54.087476438 UTC,60,6,104.106.163.140,172.28.0.2,443,34410,0
3,Mar 28, 2022 09:09:54.087497431 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
4,Mar 28, 2022 09:09:54.093972556 UTC,569,6,172.28.0.2,104.106.163.140,34410,443,517
5,Mar 28, 2022 09:09:54.095636058 UTC,52,6,104.106.163.140,172.28.0.2,443,34410,0
6,Mar 28, 2022 09:09:54.096443011 UTC,1500,6,104.106.163.140,172.28.0.2,443,34410,1448
7,Mar 28, 2022 09:09:54.096452873 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
8,Mar 28, 2022 09:09:54.096444090 UTC,1500,6,104.106.163.140,172.28.0.2,443,34410,1448
9,Mar 28, 2022 09:09:54.096462393 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
10,Mar 28, 2022 09:09:54.096486161 UTC,132,6,104.106.163.140,172.28.0.2,443,34410,80
11,Mar 28, 2022 09:09:54.096489223 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
12,Mar 28, 2022 09:09:54.098334590 UTC,132,6,172.28.0.2,104.106.163.140,34410,443,80
13,Mar 28, 2022 09:09:54.098452312 UTC,98,6,172.28.0.2,104.106.163.140,34410,443,46
14,Mar 28, 2022 09:09:54.098465216 UTC,101,6,172.28.0.2,104.106.163.140,34410,443,49
15,Mar 28, 2022 09:09:54.098474568 UTC,87,6,172.28.0.2,104.106.163.140,34410,443,35
16,Mar 28, 2022 09:09:54.098501429 UTC,115,6,172.28.0.2,104.106.163.140,34410,443,63
17,Mar 28, 2022 09:09:54.099929502 UTC,52,6,104.106.163.140,172.28.0.2,443,34410,0
18,Mar 28, 2022 09:09:54.100100468 UTC,323,6,104.106.163.140,172.28.0.2,443,34410,271
19,Mar 28, 2022 09:09:54.100123051 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
20,Mar 28, 2022 09:09:54.100102134 UTC,52,6,104.106.163.140,172.28.0.2,443,34410,0
21,Mar 28, 2022 09:09:54.100108469 UTC,323,6,104.106.163.140,172.28.0.2,443,34410,271
22,Mar 28, 2022 09:09:54.100141569 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
23,Mar 28, 2022 09:09:54.100109325 UTC,52,6,104.106.163.140,172.28.0.2,443,34410,0
24,Mar 28, 2022 09:09:54.100110005 UTC,52,6,104.106.163.140,172.28.0.2,443,34410,0
25,Mar 28, 2022 09:09:54.100186131 UTC,122,6,104.106.163.140,172.28.0.2,443,34410,70
26,Mar 28, 2022 09:09:54.100190605 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
27,Mar 28, 2022 09:09:54.100220824 UTC,52,6,104.106.163.140,172.28.0.2,443,34410,0
28,Mar 28, 2022 09:09:54.100304917 UTC,83,6,172.28.0.2,104.106.163.140,34410,443,31
29,Mar 28, 2022 09:09:54.101866567 UTC,52,6,104.106.163.140,172.28.0.2,443,34410,0
30,Mar 28, 2022 09:09:54.109236586 UTC,2933,6,104.106.163.140,172.28.0.2,443,34410,2881
31,Mar 28, 2022 09:09:54.109257373 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
32,Mar 28, 2022 09:09:54.109238255 UTC,5814,6,104.106.163.140,172.28.0.2,443,34410,5762
33,Mar 28, 2022 09:09:54.109283176 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
34,Mar 28, 2022 09:09:54.109239016 UTC,11576,6,104.106.163.140,172.28.0.2,443,34410,11524
35,Mar 28, 2022 09:09:54.109291973 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
36,Mar 28, 2022 09:09:54.109989667 UTC,1500,6,104.106.163.140,172.28.0.2,443,34410,1448
37,Mar 28, 2022 09:09:54.110006081 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
38,Mar 28, 2022 09:09:54.109991242 UTC,1485,6,104.106.163.140,172.28.0.2,443,34410,1433
39,Mar 28, 2022 09:09:54.110076237 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
40,Mar 28, 2022 09:09:54.111235331 UTC,4396,6,104.106.163.140,172.28.0.2,443,34410,4344
41,Mar 28, 2022 09:09:54.111268907 UTC,1500,6,104.106.163.140,172.28.0.2,443,34410,1448
42,Mar 28, 2022 09:09:54.111305057 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
43,Mar 28, 2022 09:09:54.111380439 UTC,1500,6,104.106.163.140,172.28.0.2,443,34410,1448
44,Mar 28, 2022 09:09:54.111392182 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
45,Mar 28, 2022 09:09:54.111471082 UTC,10188,6,104.106.163.140,172.28.0.2,443,34410,10136
46,Mar 28, 2022 09:09:54.111477949 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
47,Mar 28, 2022 09:09:54.112333188 UTC,11636,6,104.106.163.140,172.28.0.2,443,34410,11584
48,Mar 28, 2022 09:09:54.112345857 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
49,Mar 28, 2022 09:09:54.112334397 UTC,2948,6,104.106.163.140,172.28.0.2,443,34410,2896
50,Mar 28, 2022 09:09:54.112353376 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
51,Mar 28, 2022 09:09:54.112832856 UTC,8740,6,104.106.163.140,172.28.0.2,443,34410,8688
52,Mar 28, 2022 09:09:54.112847354 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
53,Mar 28, 2022 09:09:54.113114447 UTC,5604,6,104.106.163.140,172.28.0.2,443,34410,5552
54,Mar 28, 2022 09:09:54.113121455 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
55,Mar 28, 2022 09:09:54.113253921 UTC,863,6,104.106.163.140,172.28.0.2,443,34410,811
56,Mar 28, 2022 09:09:54.113258270 UTC,52,6,172.28.0.2,104.106.163.140,34410,443,0
