frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 28, 2022 08:56:12.910173038 UTC,60,6,172.28.0.2,23.62.25.134,41030,443,0
2,Mar 28, 2022 08:56:12.912359678 UTC,60,6,23.62.25.134,172.28.0.2,443,41030,0
3,Mar 28, 2022 08:56:12.912391462 UTC,52,6,172.28.0.2,23.62.25.134,41030,443,0
4,Mar 28, 2022 08:56:12.918892407 UTC,569,6,172.28.0.2,23.62.25.134,41030,443,517
5,Mar 28, 2022 08:56:12.920621090 UTC,52,6,23.62.25.134,172.28.0.2,443,41030,0
6,Mar 28, 2022 08:56:12.923348673 UTC,2948,6,23.62.25.134,172.28.0.2,443,41030,2896
7,Mar 28, 2022 08:56:12.923367110 UTC,52,6,172.28.0.2,23.62.25.134,41030,443,0
8,Mar 28, 2022 08:56:12.923350531 UTC,1213,6,23.62.25.134,172.28.0.2,443,41030,1161
9,Mar 28, 2022 08:56:12.923372001 UTC,52,6,172.28.0.2,23.62.25.134,41030,443,0
10,Mar 28, 2022 08:56:12.924247847 UTC,132,6,172.28.0.2,23.62.25.134,41030,443,80
11,Mar 28, 2022 08:56:12.924516889 UTC,98,6,172.28.0.2,23.62.25.134,41030,443,46
12,Mar 28, 2022 08:56:12.924574484 UTC,101,6,172.28.0.2,23.62.25.134,41030,443,49
13,Mar 28, 2022 08:56:12.924588947 UTC,87,6,172.28.0.2,23.62.25.134,41030,443,35
14,Mar 28, 2022 08:56:12.924619167 UTC,113,6,172.28.0.2,23.62.25.134,41030,443,61
15,Mar 28, 2022 08:56:12.925888580 UTC,52,6,23.62.25.134,172.28.0.2,443,41030,0
16,Mar 28, 2022 08:56:12.926000070 UTC,323,6,23.62.25.134,172.28.0.2,443,41030,271
17,Mar 28, 2022 08:56:12.926004761 UTC,52,6,172.28.0.2,23.62.25.134,41030,443,0
18,Mar 28, 2022 08:56:12.926049573 UTC,323,6,23.62.25.134,172.28.0.2,443,41030,271
19,Mar 28, 2022 08:56:12.926053354 UTC,52,6,172.28.0.2,23.62.25.134,41030,443,0
20,Mar 28, 2022 08:56:12.926108725 UTC,52,6,23.62.25.134,172.28.0.2,443,41030,0
