frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 28, 2022 09:01:55.925474861 UTC,60,6,172.28.0.2,192.0.66.32,59712,443,0
2,Mar 28, 2022 09:01:55.927318342 UTC,52,6,192.0.66.32,172.28.0.2,443,59712,0
3,Mar 28, 2022 09:01:55.927335872 UTC,40,6,172.28.0.2,192.0.66.32,59712,443,0
4,Mar 28, 2022 09:01:55.933842493 UTC,557,6,172.28.0.2,192.0.66.32,59712,443,517
5,Mar 28, 2022 09:01:55.934871714 UTC,40,6,192.0.66.32,172.28.0.2,443,59712,0
6,Mar 28, 2022 09:01:55.935291744 UTC,4136,6,192.0.66.32,172.28.0.2,443,59712,4096
7,Mar 28, 2022 09:01:55.935301350 UTC,40,6,172.28.0.2,192.0.66.32,59712,443,0
8,Mar 28, 2022 09:01:55.936648147 UTC,536,6,192.0.66.32,172.28.0.2,443,59712,496
9,Mar 28, 2022 09:01:55.936656077 UTC,40,6,172.28.0.2,192.0.66.32,59712,443,0
10,Mar 28, 2022 09:01:55.937269117 UTC,120,6,172.28.0.2,192.0.66.32,59712,443,80
11,Mar 28, 2022 09:01:55.937358729 UTC,86,6,172.28.0.2,192.0.66.32,59712,443,46
12,Mar 28, 2022 09:01:55.937373433 UTC,89,6,172.28.0.2,192.0.66.32,59712,443,49
13,Mar 28, 2022 09:01:55.937400448 UTC,75,6,172.28.0.2,192.0.66.32,59712,443,35
14,Mar 28, 2022 09:01:55.937437835 UTC,102,6,172.28.0.2,192.0.66.32,59712,443,62
15,Mar 28, 2022 09:01:55.938259864 UTC,327,6,192.0.66.32,172.28.0.2,443,59712,287
16,Mar 28, 2022 09:01:55.938268557 UTC,40,6,172.28.0.2,192.0.66.32,59712,443,0
17,Mar 28, 2022 09:01:55.938260638 UTC,327,6,192.0.66.32,172.28.0.2,443,59712,287
18,Mar 28, 2022 09:01:55.938275222 UTC,40,6,172.28.0.2,192.0.66.32,59712,443,0
19,Mar 28, 2022 09:01:55.938289972 UTC,111,6,192.0.66.32,172.28.0.2,443,59712,71
20,Mar 28, 2022 09:01:55.938292589 UTC,40,6,172.28.0.2,192.0.66.32,59712,443,0
21,Mar 28, 2022 09:01:55.938340088 UTC,40,6,192.0.66.32,172.28.0.2,443,59712,0
22,Mar 28, 2022 09:01:55.938377322 UTC,71,6,172.28.0.2,192.0.66.32,59712,443,31
23,Mar 28, 2022 09:01:55.938638955 UTC,477,6,192.0.66.32,172.28.0.2,443,59712,437
