frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 28, 2022 08:57:59.650024004 UTC,60,6,172.28.0.2,223.165.28.175,45050,443,0
2,Mar 28, 2022 08:57:59.858782527 UTC,60,6,223.165.28.175,172.28.0.2,443,45050,0
3,Mar 28, 2022 08:57:59.858835334 UTC,52,6,172.28.0.2,223.165.28.175,45050,443,0
4,Mar 28, 2022 08:57:59.868600502 UTC,569,6,172.28.0.2,223.165.28.175,45050,443,517
5,Mar 28, 2022 08:58:00.076963378 UTC,52,6,223.165.28.175,172.28.0.2,443,45050,0
6,Mar 28, 2022 08:58:00.077928798 UTC,6181,6,223.165.28.175,172.28.0.2,443,45050,6129
7,Mar 28, 2022 08:58:00.077970814 UTC,52,6,172.28.0.2,223.165.28.175,45050,443,0
8,Mar 28, 2022 08:58:00.079030010 UTC,178,6,172.28.0.2,223.165.28.175,45050,443,126
9,Mar 28, 2022 08:58:00.287269973 UTC,103,6,223.165.28.175,172.28.0.2,443,45050,51
10,Mar 28, 2022 08:58:00.287296087 UTC,52,6,172.28.0.2,223.165.28.175,45050,443,0
11,Mar 28, 2022 08:58:00.287353206 UTC,121,6,223.165.28.175,172.28.0.2,443,45050,69
12,Mar 28, 2022 08:58:00.287357597 UTC,52,6,172.28.0.2,223.165.28.175,45050,443,0
13,Mar 28, 2022 08:58:00.287571088 UTC,105,6,172.28.0.2,223.165.28.175,45050,443,53
14,Mar 28, 2022 08:58:00.287587538 UTC,108,6,172.28.0.2,223.165.28.175,45050,443,56
15,Mar 28, 2022 08:58:00.287597362 UTC,94,6,172.28.0.2,223.165.28.175,45050,443,42
16,Mar 28, 2022 08:58:00.287627014 UTC,125,6,172.28.0.2,223.165.28.175,45050,443,73
17,Mar 28, 2022 08:58:00.287650489 UTC,90,6,172.28.0.2,223.165.28.175,45050,443,38
18,Mar 28, 2022 08:58:00.495965002 UTC,52,6,223.165.28.175,172.28.0.2,443,45050,0
19,Mar 28, 2022 08:58:00.495995758 UTC,90,6,223.165.28.175,172.28.0.2,443,45050,38
20,Mar 28, 2022 08:58:00.496004939 UTC,52,6,172.28.0.2,223.165.28.175,45050,443,0
21,Mar 28, 2022 08:58:00.496910544 UTC,555,6,223.165.28.175,172.28.0.2,443,45050,503
22,Mar 28, 2022 08:58:00.496926908 UTC,52,6,172.28.0.2,223.165.28.175,45050,443,0
23,Mar 28, 2022 08:58:00.497126103 UTC,83,6,172.28.0.2,223.165.28.175,45050,443,31
24,Mar 28, 2022 08:58:00.497901825 UTC,52,6,172.28.0.2,223.165.28.175,45050,443,0
25,Mar 28, 2022 08:58:00.705352582 UTC,52,6,223.165.28.175,172.28.0.2,443,45050,0
26,Mar 28, 2022 08:58:00.705381182 UTC,52,6,172.28.0.2,223.165.28.175,45050,443,0
27,Mar 28, 2022 08:58:00.705544330 UTC,52,6,223.165.28.175,172.28.0.2,443,45050,0
28,Mar 28, 2022 08:58:05.638145649 UTC,60,6,172.28.0.2,223.165.28.175,45070,443,0
29,Mar 28, 2022 08:58:05.847152438 UTC,60,6,223.165.28.175,172.28.0.2,443,45070,0
30,Mar 28, 2022 08:58:05.847194935 UTC,52,6,172.28.0.2,223.165.28.175,45070,443,0
31,Mar 28, 2022 08:58:05.853723825 UTC,569,6,172.28.0.2,223.165.28.175,45070,443,517
32,Mar 28, 2022 08:58:06.062731110 UTC,52,6,223.165.28.175,172.28.0.2,443,45070,0
33,Mar 28, 2022 08:58:06.064060331 UTC,6181,6,223.165.28.175,172.28.0.2,443,45070,6129
34,Mar 28, 2022 08:58:06.064078698 UTC,52,6,172.28.0.2,223.165.28.175,45070,443,0
35,Mar 28, 2022 08:58:06.065104375 UTC,178,6,172.28.0.2,223.165.28.175,45070,443,126
36,Mar 28, 2022 08:58:06.274214453 UTC,103,6,223.165.28.175,172.28.0.2,443,45070,51
37,Mar 28, 2022 08:58:06.274237421 UTC,52,6,172.28.0.2,223.165.28.175,45070,443,0
38,Mar 28, 2022 08:58:06.274216205 UTC,121,6,223.165.28.175,172.28.0.2,443,45070,69
39,Mar 28, 2022 08:58:06.274248259 UTC,52,6,172.28.0.2,223.165.28.175,45070,443,0
