frame.number,frame.time,ip.len,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1,Mar 28, 2022 08:53:51.435513367 UTC,60,6,172.28.0.2,104.96.233.114,37354,443,0
2,Mar 28, 2022 08:53:51.437651199 UTC,60,6,104.96.233.114,172.28.0.2,443,37354,0
3,Mar 28, 2022 08:53:51.437673037 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
4,Mar 28, 2022 08:53:51.445151520 UTC,569,6,172.28.0.2,104.96.233.114,37354,443,517
5,Mar 28, 2022 08:53:51.446712966 UTC,52,6,104.96.233.114,172.28.0.2,443,37354,0
6,Mar 28, 2022 08:53:51.447955707 UTC,1500,6,104.96.233.114,172.28.0.2,443,37354,1448
7,Mar 28, 2022 08:53:51.447970722 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
8,Mar 28, 2022 08:53:51.447957785 UTC,1500,6,104.96.233.114,172.28.0.2,443,37354,1448
9,Mar 28, 2022 08:53:51.447984625 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
10,Mar 28, 2022 08:53:51.447959326 UTC,1165,6,104.96.233.114,172.28.0.2,443,37354,1113
11,Mar 28, 2022 08:53:51.447988601 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
12,Mar 28, 2022 08:53:51.449220097 UTC,132,6,172.28.0.2,104.96.233.114,37354,443,80
13,Mar 28, 2022 08:53:51.449343984 UTC,98,6,172.28.0.2,104.96.233.114,37354,443,46
14,Mar 28, 2022 08:53:51.449359665 UTC,101,6,172.28.0.2,104.96.233.114,37354,443,49
15,Mar 28, 2022 08:53:51.449369613 UTC,87,6,172.28.0.2,104.96.233.114,37354,443,35
16,Mar 28, 2022 08:53:51.449406597 UTC,119,6,172.28.0.2,104.96.233.114,37354,443,67
17,Mar 28, 2022 08:53:51.450752834 UTC,52,6,104.96.233.114,172.28.0.2,443,37354,0
18,Mar 28, 2022 08:53:51.450802482 UTC,52,6,104.96.233.114,172.28.0.2,443,37354,0
19,Mar 28, 2022 08:53:51.450803249 UTC,52,6,104.96.233.114,172.28.0.2,443,37354,0
20,Mar 28, 2022 08:53:51.450881734 UTC,339,6,104.96.233.114,172.28.0.2,443,37354,287
21,Mar 28, 2022 08:53:51.450887126 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
22,Mar 28, 2022 08:53:51.450882399 UTC,52,6,104.96.233.114,172.28.0.2,443,37354,0
23,Mar 28, 2022 08:53:51.450966128 UTC,52,6,104.96.233.114,172.28.0.2,443,37354,0
24,Mar 28, 2022 08:53:51.450966928 UTC,339,6,104.96.233.114,172.28.0.2,443,37354,287
25,Mar 28, 2022 08:53:51.450973140 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
26,Mar 28, 2022 08:53:51.457824709 UTC,122,6,104.96.233.114,172.28.0.2,443,37354,70
27,Mar 28, 2022 08:53:51.457837513 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
28,Mar 28, 2022 08:53:51.457915185 UTC,83,6,172.28.0.2,104.96.233.114,37354,443,31
29,Mar 28, 2022 08:53:51.459419228 UTC,52,6,104.96.233.114,172.28.0.2,443,37354,0
30,Mar 28, 2022 08:53:59.466709073 UTC,2933,6,104.96.233.114,172.28.0.2,443,37354,2881
31,Mar 28, 2022 08:53:59.466742863 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
32,Mar 28, 2022 08:53:59.466711010 UTC,5814,6,104.96.233.114,172.28.0.2,443,37354,5762
33,Mar 28, 2022 08:53:59.466751319 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
34,Mar 28, 2022 08:53:59.466973450 UTC,11576,6,104.96.233.114,172.28.0.2,443,37354,11524
35,Mar 28, 2022 08:53:59.466982824 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
36,Mar 28, 2022 08:53:59.467257763 UTC,4396,6,104.96.233.114,172.28.0.2,443,37354,4344
37,Mar 28, 2022 08:53:59.467276527 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
38,Mar 28, 2022 08:53:59.468867847 UTC,2948,6,104.96.233.114,172.28.0.2,443,37354,2896
39,Mar 28, 2022 08:53:59.468884447 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
40,Mar 28, 2022 08:53:59.468923683 UTC,2948,6,104.96.233.114,172.28.0.2,443,37354,2896
41,Mar 28, 2022 08:53:59.468928719 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
42,Mar 28, 2022 08:53:59.469080329 UTC,11636,6,104.96.233.114,172.28.0.2,443,37354,11584
43,Mar 28, 2022 08:53:59.469088898 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
44,Mar 28, 2022 08:53:59.470039764 UTC,4396,6,104.96.233.114,172.28.0.2,443,37354,4344
45,Mar 28, 2022 08:53:59.470050187 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
46,Mar 28, 2022 08:53:59.470154817 UTC,6724,6,104.96.233.114,172.28.0.2,443,37354,6672
47,Mar 28, 2022 08:53:59.470161400 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
48,Mar 28, 2022 08:53:59.470569768 UTC,2948,6,104.96.233.114,172.28.0.2,443,37354,2896
49,Mar 28, 2022 08:53:59.470582910 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
50,Mar 28, 2022 08:53:59.470571382 UTC,2933,6,104.96.233.114,172.28.0.2,443,37354,2881
51,Mar 28, 2022 08:53:59.470591612 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
52,Mar 28, 2022 08:53:59.470765929 UTC,10770,6,104.96.233.114,172.28.0.2,443,37354,10718
53,Mar 28, 2022 08:53:59.470775386 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
54,Mar 28, 2022 08:53:59.471310852 UTC,11636,6,104.96.233.114,172.28.0.2,443,37354,11584
55,Mar 28, 2022 08:53:59.471332685 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
56,Mar 28, 2022 08:53:59.471312305 UTC,2948,6,104.96.233.114,172.28.0.2,443,37354,2896
57,Mar 28, 2022 08:53:59.471341964 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
58,Mar 28, 2022 08:53:59.471693878 UTC,8740,6,104.96.233.114,172.28.0.2,443,37354,8688
59,Mar 28, 2022 08:53:59.471709303 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
60,Mar 28, 2022 08:53:59.471734563 UTC,14532,6,104.96.233.114,172.28.0.2,443,37354,14480
61,Mar 28, 2022 08:53:59.471743917 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
62,Mar 28, 2022 08:53:59.472387742 UTC,11636,6,104.96.233.114,172.28.0.2,443,37354,11584
63,Mar 28, 2022 08:53:59.472403931 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
64,Mar 28, 2022 08:53:59.472389281 UTC,4540,6,104.96.233.114,172.28.0.2,443,37354,4488
65,Mar 28, 2022 08:53:59.472413428 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
66,Mar 28, 2022 08:53:59.472901331 UTC,8740,6,104.96.233.114,172.28.0.2,443,37354,8688
67,Mar 28, 2022 08:53:59.472913659 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
68,Mar 28, 2022 08:53:59.472902500 UTC,2933,6,104.96.233.114,172.28.0.2,443,37354,2881
69,Mar 28, 2022 08:53:59.472921322 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
70,Mar 28, 2022 08:53:59.473059029 UTC,4396,6,104.96.233.114,172.28.0.2,443,37354,4344
71,Mar 28, 2022 08:53:59.473074122 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
72,Mar 28, 2022 08:53:59.473290429 UTC,23220,6,104.96.233.114,172.28.0.2,443,37354,23168
73,Mar 28, 2022 08:53:59.473307868 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
74,Mar 28, 2022 08:53:59.473291766 UTC,1500,6,104.96.233.114,172.28.0.2,443,37354,1448
75,Mar 28, 2022 08:53:59.473315296 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
76,Mar 28, 2022 08:53:59.473835766 UTC,2948,6,104.96.233.114,172.28.0.2,443,37354,2896
77,Mar 28, 2022 08:53:59.473845358 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
78,Mar 28, 2022 08:53:59.473931989 UTC,14532,6,104.96.233.114,172.28.0.2,443,37354,14480
79,Mar 28, 2022 08:53:59.473941148 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
80,Mar 28, 2022 08:53:59.474061827 UTC,11636,6,104.96.233.114,172.28.0.2,443,37354,11584
81,Mar 28, 2022 08:53:59.474069685 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
82,Mar 28, 2022 08:53:59.474286336 UTC,11636,6,104.96.233.114,172.28.0.2,443,37354,11584
83,Mar 28, 2022 08:53:59.474300904 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
84,Mar 28, 2022 08:53:59.474287824 UTC,5844,6,104.96.233.114,172.28.0.2,443,37354,5792
85,Mar 28, 2022 08:53:59.474310761 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
86,Mar 28, 2022 08:53:59.474624559 UTC,13084,6,104.96.233.114,172.28.0.2,443,37354,13032
87,Mar 28, 2022 08:53:59.474639541 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
88,Mar 28, 2022 08:53:59.474678913 UTC,5844,6,104.96.233.114,172.28.0.2,443,37354,5792
89,Mar 28, 2022 08:53:59.474684121 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
90,Mar 28, 2022 08:53:59.474987548 UTC,14532,6,104.96.233.114,172.28.0.2,443,37354,14480
91,Mar 28, 2022 08:53:59.475003257 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
92,Mar 28, 2022 08:53:59.475138986 UTC,23220,6,104.96.233.114,172.28.0.2,443,37354,23168
93,Mar 28, 2022 08:53:59.475154727 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
94,Mar 28, 2022 08:53:59.475266326 UTC,20324,6,104.96.233.114,172.28.0.2,443,37354,20272
95,Mar 28, 2022 08:53:59.475281182 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
96,Mar 28, 2022 08:53:59.475267207 UTC,4396,6,104.96.233.114,172.28.0.2,443,37354,4344
97,Mar 28, 2022 08:53:59.475285653 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
98,Mar 28, 2022 08:53:59.475439378 UTC,2948,6,104.96.233.114,172.28.0.2,443,37354,2896
99,Mar 28, 2022 08:53:59.475443610 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
100,Mar 28, 2022 08:53:59.475503594 UTC,7292,6,104.96.233.114,172.28.0.2,443,37354,7240
101,Mar 28, 2022 08:53:59.475508746 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
102,Mar 28, 2022 08:53:59.475633637 UTC,10188,6,104.96.233.114,172.28.0.2,443,37354,10136
103,Mar 28, 2022 08:53:59.475640421 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
104,Mar 28, 2022 08:53:59.475792458 UTC,20324,6,104.96.233.114,172.28.0.2,443,37354,20272
105,Mar 28, 2022 08:53:59.475805142 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
106,Mar 28, 2022 08:53:59.475946413 UTC,14532,6,104.96.233.114,172.28.0.2,443,37354,14480
107,Mar 28, 2022 08:53:59.475955950 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
108,Mar 28, 2022 08:53:59.475997724 UTC,13084,6,104.96.233.114,172.28.0.2,443,37354,13032
109,Mar 28, 2022 08:53:59.476006013 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
110,Mar 28, 2022 08:53:59.476091107 UTC,1500,6,104.96.233.114,172.28.0.2,443,37354,1448
111,Mar 28, 2022 08:53:59.476095107 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
112,Mar 28, 2022 08:53:59.476161698 UTC,12812,6,104.96.233.114,172.28.0.2,443,37354,12760
113,Mar 28, 2022 08:53:59.476169963 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
114,Mar 28, 2022 08:53:59.477511642 UTC,5844,6,104.96.233.114,172.28.0.2,443,37354,5792
115,Mar 28, 2022 08:53:59.477523744 UTC,52,6,172.28.0.2,104.96.233.114,37354,443,0
116,Mar 28, 2022 08:53:59.477569422 UTC,10666,6,104.96.233.114,172.28.0.2,443,37354,10614
